locusId	sysName	desc	comb
SM_b20088	SM_b20088	hypothetical protein	SM_b20088 hypothetical protein
SM_b20089	SM_b20089	hypothetical protein	SM_b20089 hypothetical protein
SM_b20091	SM_b20091	hypothetical protein	SM_b20091 hypothetical protein
SM_b20092	SM_b20092	hypothetical protein	SM_b20092 hypothetical protein
SM_b20093	SM_b20093	hypothetical protein	SM_b20093 hypothetical protein
SM_b20094	SM_b20094	phospholipase	SM_b20094 phospholipase
SM_b20095	SM_b20095	pyruvate oxidase	SM_b20095 pyruvate oxidase
SM_b20096	SM_b20096	hypothetical protein	SM_b20096 hypothetical protein
SM_b20097	SM_b20097	oxidoreductase	SM_b20097 oxidoreductase
SM_b20098	SM_b20098	hypothetical protein	SM_b20098 hypothetical protein
SM_b20099	SM_b20099	maltose alpha-D-glucosyltransferase	SM_b20099 maltose alpha-D-glucosyltransferase
SM_b20100	SM_b20100	dehydrogenase	SM_b20100 dehydrogenase
SM_b20101	SM_b20101	hydroxyglutarate oxidase	SM_b20101 hydroxyglutarate oxidase
SM_b20102	SM_b20102	acetoin catabolism regulatory protein	SM_b20102 acetoin catabolism regulatory protein
SM_b20103	SM_b20103	FAD-dependent oxidoreductase	SM_b20103 FAD-dependent oxidoreductase
SM_b20104	SM_b20104	hypothetical protein	SM_b20104 hypothetical protein
SM_b20105	SM_b20105	transcriptional regulator	SM_b20105 transcriptional regulator
SM_b20106	SM_b20106	transcriptional regulator	SM_b20106 transcriptional regulator
SM_b20107	SM_b20107	hypothetical protein	SM_b20107 hypothetical protein
SM_b20108	SM_b20108	peptide ABC transporter substrate-binding protein	SM_b20108 peptide ABC transporter substrate-binding protein
SM_b20109	SM_b20109	peptide ABC transporter permease	SM_b20109 peptide ABC transporter permease
SM_b20110	SM_b20110	oligopeptide ABC transporter permease	SM_b20110 oligopeptide ABC transporter permease
SM_b20111	SM_b20111	oligopeptide ABC transporter ATP-binding protein	SM_b20111 oligopeptide ABC transporter ATP-binding protein
SM_b20112	SM_b20112	hypothetical protein	SM_b20112 hypothetical protein
SM_b20113	SM_b20113	dehydrogenase	SM_b20113 dehydrogenase
SM_b20114	SM_b20114	hypothetical protein	SM_b20114 hypothetical protein
SM_b20115	SM_b20115	dihydroxy-acid dehydratase	SM_b20115 dihydroxy-acid dehydratase
SM_b20116	SM_b20116	hypothetical protein	SM_b20116 hypothetical protein
SM_b20117	SM_b20117	sugar transferase	SM_b20117 sugar transferase
SM_b20118	SM_b20118	hypothetical protein	SM_b20118 hypothetical protein
SM_b20119	SM_b20119	hypothetical protein	SM_b20119 hypothetical protein
SM_b20121	SM_b20121	hypothetical protein	SM_b20121 hypothetical protein
SM_b20122	SM_b20122	hypothetical protein	SM_b20122 hypothetical protein
SM_b20123	SM_b20123	transcriptional regulator	SM_b20123 transcriptional regulator
SM_b20124	SM_b20124	sugar ABC transporter ATP-binding protein	SM_b20124 sugar ABC transporter ATP-binding protein
SM_b20125	SM_b20125	sugar ABC transporter permease	SM_b20125 sugar ABC transporter permease
SM_b20126	SM_b20126	sugar ABC transporter permease	SM_b20126 sugar ABC transporter permease
SM_b20127	SM_b20127	hypothetical protein	SM_b20127 hypothetical protein
SM_b20128	SM_b20128	deaminase	SM_b20128 deaminase
SM_b20129	SM_b20129	transcriptional regulator	SM_b20129 transcriptional regulator
SM_b20130	SM_b20130	dehydrogenase	SM_b20130 dehydrogenase
SM_b20131	SM_b20131	oxidoreductase	SM_b20131 oxidoreductase
SM_b20132	SM_b20132	dehydrogenase	SM_b20132 dehydrogenase
SM_b20133	SM_b20133	hypothetical protein	SM_b20133 hypothetical protein
SM_b20134	SM_b20134	permease	SM_b20134 permease
SM_b20135	SM_b20135	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	SM_b20135 3-octaprenyl-4-hydroxybenzoate carboxy-lyase
SM_b20136	SM_b20136	hypothetical protein	SM_b20136 hypothetical protein
SM_b20137	SM_b20137	hypothetical protein	SM_b20137 hypothetical protein
SM_b20138	SM_b20138	hypothetical protein	SM_b20138 hypothetical protein
SM_b20139	SM_b20139	hypothetical protein	SM_b20139 hypothetical protein
SM_b20140	SM_b20140	dihydrodipicolinate synthase	SM_b20140 dihydrodipicolinate synthase
SM_b20141	SM_b20141	oligopeptide ABC transporter ATP-binding protein	SM_b20141 oligopeptide ABC transporter ATP-binding protein
SM_b20142	SM_b20142	oligopeptide ABC transporter permease	SM_b20142 oligopeptide ABC transporter permease
SM_b20143	SM_b20143	oligopeptide ABC transporter permease	SM_b20143 oligopeptide ABC transporter permease
SM_b20144	SM_b20144	ABC transporter oligopeptide-binding protein	SM_b20144 ABC transporter oligopeptide-binding protein
SM_b20145	SM_b20145	hypothetical protein	SM_b20145 hypothetical protein
SM_b20146	SM_b20146	pyridoxal phosphate biosynthetic protein	SM_b20146 pyridoxal phosphate biosynthetic protein
SM_b20147	SM_b20147	alcohol dehydrogenase	SM_b20147 alcohol dehydrogenase
SM_b20148	SM_b20148	transcriptional regulator	SM_b20148 transcriptional regulator
SM_b20149	SM_b20149	hypothetical protein	SM_b20149 hypothetical protein
SM_b20150	SM_b20150	inositol monophosphatase	SM_b20150 inositol monophosphatase
SM_b20151	SM_b20151	hypothetical protein	SM_b20151 hypothetical protein
SM_b20152	SM_b20152	hypothetical protein	SM_b20152 hypothetical protein
SM_b20153	SM_b20153	hypothetical protein	SM_b20153 hypothetical protein
SM_b20154	SM_b20154	transcriptional regulator	SM_b20154 transcriptional regulator
SM_b20155	SM_b20155	ABC transporter permease	SM_b20155 ABC transporter permease
SM_b20156	SM_b20156	ABC transporter ATP-binding protein	SM_b20156 ABC transporter ATP-binding protein
SM_b20157	SM_b20157	ABC transporter substrate-binding protein	SM_b20157 ABC transporter substrate-binding protein
SM_b20158	SM_b20158	ABC transporter substrate-binding protein	SM_b20158 ABC transporter substrate-binding protein
SM_b20159	SM_b20159	inositol monophosphatase	SM_b20159 inositol monophosphatase
SM_b20161	SM_b20161	hypothetical protein	SM_b20161 hypothetical protein
SM_b20162	SM_b20162	transcriptional regulator	SM_b20162 transcriptional regulator
SM_b20163	SM_b20163	hypothetical protein	SM_b20163 hypothetical protein
SM_b20164	SM_b20164	sensor histidine kinase	SM_b20164 sensor histidine kinase
SM_b20165	SM_b20165	hypothetical protein	SM_b20165 hypothetical protein
SM_b20166	SM_b20166	hypothetical protein	SM_b20166 hypothetical protein
SM_b20167	SM_b20167	hypothetical protein	SM_b20167 hypothetical protein
SM_b20168	SM_b20168	hypothetical protein	SM_b20168 hypothetical protein
SM_b20169	SM_b20169	hypothetical protein	SM_b20169 hypothetical protein
SM_b20171	SM_b20171	carboxylesterase	SM_b20171 carboxylesterase
SM_b20172	SM_b20172	cytochrome c protein	SM_b20172 cytochrome c protein
SM_b20173	SM_b20173	methanol dehydrogenase, large subunit	SM_b20173 methanol dehydrogenase, large subunit
SM_b20174	SM_b20174	cytochrome c protein	SM_b20174 cytochrome c protein
SM_b20175	SM_b20175	hypothetical protein	SM_b20175 hypothetical protein
SM_b20176	SM_b20176	hypothetical protein	SM_b20176 hypothetical protein
SM_b20177	SM_b20177	hypothetical protein	SM_b20177 hypothetical protein
SM_b20178	SM_b20178	hypothetical protein	SM_b20178 hypothetical protein
SM_b20179	SM_b20179	hypothetical protein	SM_b20179 hypothetical protein
SM_b20180	SM_b20180	hypothetical protein	SM_b20180 hypothetical protein
SM_b20181	SM_b20181	ABC transporter substrate-binding protein	SM_b20181 ABC transporter substrate-binding protein
SM_b20182	SM_b20182	ABC transporter	SM_b20182 ABC transporter
SM_b20183	SM_b20183	ABC transporter ATP-binding protein	SM_b20183 ABC transporter ATP-binding protein
SM_b20184	SM_b20184	ABC transporter ATP-binding protein	SM_b20184 ABC transporter ATP-binding protein
SM_b20185	SM_b20185	hypothetical protein	SM_b20185 hypothetical protein
SM_b20186	SM_b20186	glutathione-dependent formaldehyde-activating protein	SM_b20186 glutathione-dependent formaldehyde-activating protein
SM_b20194	SM_b20194	hypothetical protein	SM_b20194 hypothetical protein
SM_b20195	SM_b20195	pentose-5-phosphate-3-epimerase	SM_b20195 pentose-5-phosphate-3-epimerase
SM_b20196	SM_b20196	CbbX protein	SM_b20196 CbbX protein
SM_b20197	SM_b20197	ribulose-1,5-bisphosphate carboxylase small subunit protein	SM_b20197 ribulose-1,5-bisphosphate carboxylase small subunit protein
SM_b20198	SM_b20198	ribulose bisophosphate carboxylase	SM_b20198 ribulose bisophosphate carboxylase
SM_b20199	SM_b20199	fructose-1,6-bisphosphate aldolase	SM_b20199 fructose-1,6-bisphosphate aldolase
SM_b20200	SM_b20200	transketolase	SM_b20200 transketolase
SM_b20201	SM_b20201	phosphoribulokinase	SM_b20201 phosphoribulokinase
SM_b20202	SM_b20202	fructose-1,6-bisphosphatase	SM_b20202 fructose-1,6-bisphosphatase
SM_b20203	SM_b20203	transcriptional regulator	SM_b20203 transcriptional regulator
SM_b20205	SM_b20205	pyrroloquinoline quinone biosynthesis protein PqqB	SM_b20205 pyrroloquinoline quinone biosynthesis protein PqqB
SM_b20206	SM_b20206	pyrroloquinoline quinone biosynthesis protein PqqC	SM_b20206 pyrroloquinoline quinone biosynthesis protein PqqC
SM_b20208	SM_b20208	pyrroloquinoline quinone biosynthesis protein PqqE	SM_b20208 pyrroloquinoline quinone biosynthesis protein PqqE
SM_b20209	SM_b20209	hypothetical protein	SM_b20209 hypothetical protein
SM_b20210	SM_b20210	oxidoreductase	SM_b20210 oxidoreductase
SM_b20211	SM_b20211	transcriptional regulator	SM_b20211 transcriptional regulator
SM_b20212	SM_b20212	hypothetical protein	SM_b20212 hypothetical protein
SM_b20213	SM_b20213	hypothetical protein	SM_b20213 hypothetical protein
SM_b20214	SM_b20214	oxidoreductase	SM_b20214 oxidoreductase
SM_b20215	SM_b20215	transcriptional regulator	SM_b20215 transcriptional regulator
SM_b20216	SM_b20216	epoxide hydrolase	SM_b20216 epoxide hydrolase
SM_b20217	SM_b20217	hypothetical protein	SM_b20217 hypothetical protein
SM_b20218	SM_b20218	sensor histidine kinase	SM_b20218 sensor histidine kinase
SM_b20219	SM_b20219	response regulator protein	SM_b20219 response regulator protein
SM_b20221	SM_b20221	epoxide hydrolase	SM_b20221 epoxide hydrolase
SM_b20222	SM_b20222	hypothetical protein	SM_b20222 hypothetical protein
SM_b20225	SM_b20225	osmotically inducible sensory protein	SM_b20225 osmotically inducible sensory protein
SM_b20226	SM_b20226	hypothetical protein	SM_b20226 hypothetical protein
SM_b20228	SM_b20228	nutrient deprivation-induced protein	SM_b20228 nutrient deprivation-induced protein
SM_b20229	SM_b20229	nutrient deprivation-induced protein	SM_b20229 nutrient deprivation-induced protein
SM_b20230	SM_b20230	smc22-r protein	SM_b20230 smc22-r protein
SM_b20231	SM_b20231	sugar ABC transporter substrate-binding protein	SM_b20231 sugar ABC transporter substrate-binding protein
SM_b20232	SM_b20232	sugar ABC transporter permease	SM_b20232 sugar ABC transporter permease
SM_b20233	SM_b20233	sugar ABC transporter permease	SM_b20233 sugar ABC transporter permease
SM_b20234	SM_b20234	hypothetical protein	SM_b20234 hypothetical protein
SM_b20235	SM_b20235	sugar ABC transporter ATP-binding protein	SM_b20235 sugar ABC transporter ATP-binding protein
SM_b20236	SM_b20236	hypothetical protein	SM_b20236 hypothetical protein
SM_b20238	SM_b20238	hypothetical protein	SM_b20238 hypothetical protein
SM_b20239	SM_b20239	dTDP-glucose 4,6-dehydratase	SM_b20239 dTDP-glucose 4,6-dehydratase
SM_b20240	SM_b20240	hypothetical protein	SM_b20240 hypothetical protein
SM_b20241	SM_b20241	hypothetical protein	SM_b20241 hypothetical protein
SM_b20242	SM_b20242	hypothetical protein	SM_b20242 hypothetical protein
SM_b20243	SM_b20243	glycosyltransferase	SM_b20243 glycosyltransferase
SM_b20244	SM_b20244	CDP-tyvelose-2-epimerase	SM_b20244 CDP-tyvelose-2-epimerase
SM_b20245	SM_b20245	UDP-glucose 4-epimerase	SM_b20245 UDP-glucose 4-epimerase
SM_b20246	SM_b20246	oxidoreductase	SM_b20246 oxidoreductase
SM_b20247	SM_b20247	oxidoreductase	SM_b20247 oxidoreductase
SM_b20248	SM_b20248	hypothetical protein	SM_b20248 hypothetical protein
SM_b20249	SM_b20249	myo-inositol-1-phosphate synthase	SM_b20249 myo-inositol-1-phosphate synthase
SM_b20250	SM_b20250	hypothetical protein	SM_b20250 hypothetical protein
SM_b20251	SM_b20251	hypothetical protein	SM_b20251 hypothetical protein
SM_b20252	SM_b20252	hypothetical protein	SM_b20252 hypothetical protein
SM_b20253	SM_b20253	hypothetical protein	SM_b20253 hypothetical protein
SM_b20255	SM_b20255	hypothetical protein	SM_b20255 hypothetical protein
SM_b20256	SM_b20256	hypothetical protein	SM_b20256 hypothetical protein
SM_b20257	SM_b20257	adenylate cyclase	SM_b20257 adenylate cyclase
SM_b20258	SM_b20258	transcriptional regulator	SM_b20258 transcriptional regulator
SM_b20259	SM_b20259	dihydrodipicolinate synthase	SM_b20259 dihydrodipicolinate synthase
SM_b20260	SM_b20260	hypothetical protein	SM_b20260 hypothetical protein
SM_b20261	SM_b20261	malate dehydrogenase	SM_b20261 malate dehydrogenase
SM_b20262	SM_b20262	semialdehyde dehydrogenase	SM_b20262 semialdehyde dehydrogenase
SM_b20263	SM_b20263	amino acid ABC transporter substrate-binding protein	SM_b20263 amino acid ABC transporter substrate-binding protein
SM_b20264	SM_b20264	amino acid ABC transporter permease	SM_b20264 amino acid ABC transporter permease
SM_b20265	SM_b20265	amino acid ABC transporter permease	SM_b20265 amino acid ABC transporter permease
SM_b20266	SM_b20266	amino acid ABC transporter ATP-binding protein	SM_b20266 amino acid ABC transporter ATP-binding protein
SM_b20267	SM_b20267	D-amino acid dehydrogenase	SM_b20267 D-amino acid dehydrogenase
SM_b20268	SM_b20268	hydroxyproline-2-epimerase	SM_b20268 hydroxyproline-2-epimerase
SM_b20269	SM_b20269	hypothetical protein	SM_b20269 hypothetical protein
SM_b20270	SM_b20270	proline racemase	SM_b20270 proline racemase
SM_b20271	SM_b20271	hypothetical protein	SM_b20271 hypothetical protein
SM_b20272	SM_b20272	transporter protein	SM_b20272 transporter protein
SM_b20273	SM_b20273	hypothetical protein	SM_b20273 hypothetical protein
SM_b20274	SM_b20274	hypothetical protein	SM_b20274 hypothetical protein
SM_b20275	SM_b20275	hypothetical protein	SM_b20275 hypothetical protein
SM_b20276	SM_b20276	transcriptional regulator	SM_b20276 transcriptional regulator
SM_b20277	SM_b20277	hypothetical protein	SM_b20277 hypothetical protein
SM_b20278	SM_b20278	hypothetical protein	SM_b20278 hypothetical protein
SM_b20279	SM_b20279	hypothetical protein	SM_b20279 hypothetical protein
SM_b20280	SM_b20280	hypothetical protein	SM_b20280 hypothetical protein
SM_b20281	SM_b20281	spermidine/putrescine ABC transporter ATP-binding protein	SM_b20281 spermidine/putrescine ABC transporter ATP-binding protein
SM_b20282	SM_b20282	spermidine/putrescine ABC transporter permease	SM_b20282 spermidine/putrescine ABC transporter permease
SM_b20283	SM_b20283	spermidine/putrescine ABC transporter permease	SM_b20283 spermidine/putrescine ABC transporter permease
SM_b20284	SM_b20284	spermidine/putrescine ABC transporter substrate-binding protein	SM_b20284 spermidine/putrescine ABC transporter substrate-binding protein
SM_b20285	SM_b20285	transcriptional regulator	SM_b20285 transcriptional regulator
SM_b20286	SM_b20286	hypothetical protein	SM_b20286 hypothetical protein
SM_b20287	SM_b20287	hypothetical protein	SM_b20287 hypothetical protein
SM_b20288	SM_b20288	hypothetical protein	SM_b20288 hypothetical protein
SM_b20289	SM_b20289	permease	SM_b20289 permease
SM_b20290	SM_b20290	transcriptional regulator	SM_b20290 transcriptional regulator
SM_b20291	SM_b20291	hypothetical protein	SM_b20291 hypothetical protein
SM_b20292	SM_b20292	immunogenic protein	SM_b20292 immunogenic protein
SM_b20293	SM_b20293	hypothetical protein	SM_b20293 hypothetical protein
SM_b20294	SM_b20294	transcriptional regulator NanR	SM_b20294 transcriptional regulator NanR
SM_b20295	SM_b20295	ABC transporter substrate-binding protein	SM_b20295 ABC transporter substrate-binding protein
SM_b20296	SM_b20296	permease	SM_b20296 permease
SM_b20297	SM_b20297	permease	SM_b20297 permease
SM_b20298	SM_b20298	hypothetical protein	SM_b20298 hypothetical protein
SM_b20299	SM_b20299	N-acetylneuraminate lyase	SM_b20299 N-acetylneuraminate lyase
SM_b20300	SM_b20300	adenylate cyclase	SM_b20300 adenylate cyclase
SM_b20301	SM_b20301	dehydgrogenase	SM_b20301 dehydgrogenase
SM_b20302	SM_b20302	hypothetical protein	SM_b20302 hypothetical protein
SM_b20303	SM_b20303	hypothetical protein	SM_b20303 hypothetical protein
SM_b20307	SM_b20307	dihydroxyacetone kinase	SM_b20307 dihydroxyacetone kinase
SM_b20312	SM_b20312	dihydroxyacetone kinase	SM_b20312 dihydroxyacetone kinase
SM_b20313	SM_b20313	glycerone kinase	SM_b20313 glycerone kinase
SM_b20314	SM_b20314	glycerone kinase	SM_b20314 glycerone kinase
SM_b20315	SM_b20315	sugar ABC transporter permease	SM_b20315 sugar ABC transporter permease
SM_b20316	SM_b20316	sugar ABC transporter substrate-binding protein	SM_b20316 sugar ABC transporter substrate-binding protein
SM_b20317	SM_b20317	sugar ABC transporter ATP-binding protein	SM_b20317 sugar ABC transporter ATP-binding protein
SM_b20318	SM_b20318	sugar ABC transporter permease	SM_b20318 sugar ABC transporter permease
SM_b20319	SM_b20319	hypothetical protein	SM_b20319 hypothetical protein
SM_b20320	SM_b20320	TRAP-type large permease component	SM_b20320 TRAP-type large permease component
SM_b20321	SM_b20321	hypothetical protein	SM_b20321 hypothetical protein
SM_b20322	SM_b20322	TRAP-type small permease component	SM_b20322 TRAP-type small permease component
SM_b20323	SM_b20323	transcriptional regulator	SM_b20323 transcriptional regulator
SM_b20324	SM_b20324	ThuR, regulatory protein for trehalosemaltose transport system	SM_b20324 ThuR, regulatory protein for trehalosemaltose transport system
SM_b20325	SM_b20325	trehalosemaltose-binding protein	SM_b20325 trehalosemaltose-binding protein
SM_b20326	SM_b20326	trehalosemaltose transporter permease	SM_b20326 trehalosemaltose transporter permease
SM_b20327	SM_b20327	trehalosemaltose transporter permease	SM_b20327 trehalosemaltose transporter permease
SM_b20328	SM_b20328	trehalosemaltose transporter ATP-binding protein	SM_b20328 trehalosemaltose transporter ATP-binding protein
SM_b20329	SM_b20329	ThuA protein, function	SM_b20329 ThuA protein, function
SM_b20330	SM_b20330	trehalosemaltose utilization protein, function	SM_b20330 trehalosemaltose utilization protein, function
SM_b20332	SM_b20332	hypothetical protein	SM_b20332 hypothetical protein
SM_b20333	SM_b20333	transporter protein	SM_b20333 transporter protein
SM_b20334	SM_b20334	hypothetical protein	SM_b20334 hypothetical protein
SM_b20335	SM_b20335	hypothetical protein	SM_b20335 hypothetical protein
SM_b20336	SM_b20336	hypothetical protein	SM_b20336 hypothetical protein
SM_b20338	SM_b20338	efflux protein	SM_b20338 efflux protein
SM_b20339	SM_b20339	hypothetical protein	SM_b20339 hypothetical protein
SM_b20340	SM_b20340	hypothetical protein	SM_b20340 hypothetical protein
SM_b20342	SM_b20342	isoquinoline 1-oxidoreductase	SM_b20342 isoquinoline 1-oxidoreductase
SM_b20343	SM_b20343	isoquinoline 1-oxidoreductase	SM_b20343 isoquinoline 1-oxidoreductase
SM_b20344	SM_b20344	transcriptional regulator	SM_b20344 transcriptional regulator
SM_b20345	SM_b20345	efflux protein	SM_b20345 efflux protein
SM_b20346	SM_b20346	efflux protein	SM_b20346 efflux protein
SM_b20347	SM_b20347	transcriptional regulator	SM_b20347 transcriptional regulator
SM_b20348	SM_b20348	hypothetical protein	SM_b20348 hypothetical protein
SM_b20349	SM_b20349	sugar ABC transporter	SM_b20349 sugar ABC transporter
SM_b20350	SM_b20350	hypothetical protein	SM_b20350 hypothetical protein
SM_b20351	SM_b20351	sugar ABC transporter ATP-binding protein	SM_b20351 sugar ABC transporter ATP-binding protein
SM_b20352	SM_b20352	sugar ABC transporter permease	SM_b20352 sugar ABC transporter permease
SM_b20353	SM_b20353	oxidoreductase	SM_b20353 oxidoreductase
SM_b20354	SM_b20354	hypothetical protein	SM_b20354 hypothetical protein
SM_b20355	SM_b20355	hypothetical protein	SM_b20355 hypothetical protein
SM_b20356	SM_b20356	sensory histidine kinase	SM_b20356 sensory histidine kinase
SM_b20357	SM_b20357	histidine kinase	SM_b20357 histidine kinase
SM_b20358	SM_b20358	regulatory protein	SM_b20358 regulatory protein
SM_b20359	SM_b20359	hypothetical protein	SM_b20359 hypothetical protein
SM_b20360	SM_b20360	hypothetical protein	SM_b20360 hypothetical protein
SM_b20361	SM_b20361	ionic voltage-gated channel protein	SM_b20361 ionic voltage-gated channel protein
SM_b20362	SM_b20362	inositol monophosphatase	SM_b20362 inositol monophosphatase
SM_b20363	SM_b20363	iron ABC transporter ATP-binding protein	SM_b20363 iron ABC transporter ATP-binding protein
SM_b20364	SM_b20364	iron ABC transporter permease	SM_b20364 iron ABC transporter permease
SM_b20365	SM_b20365	iron ABC transporter substrate-binding protein	SM_b20365 iron ABC transporter substrate-binding protein
SM_b20366	SM_b20366	LacI family transcriptional regulator	SM_b20366 LacI family transcriptional regulator
SM_b20367	SM_b20367	transcriptional regulator	SM_b20367 transcriptional regulator
SM_b20368	SM_b20368	hypothetical protein	SM_b20368 hypothetical protein
SM_b20369	SM_b20369	hypothetical protein	SM_b20369 hypothetical protein
SM_b20370	SM_b20370	ATP-binding transport protein	SM_b20370 ATP-binding transport protein
SM_b20371	SM_b20371	ribose-5-phosphate isomerase B	SM_b20371 ribose-5-phosphate isomerase B
SM_b20372	SM_b20372	hypothetical protein	SM_b20372 hypothetical protein
SM_b20373	SM_b20373	TRAP dicarboxylate transporter	SM_b20373 TRAP dicarboxylate transporter
SM_b20374	SM_b20374	substrate-binding protein	SM_b20374 substrate-binding protein
SM_b20375	SM_b20375	transcriptional regulator	SM_b20375 transcriptional regulator
SM_b20376	SM_b20376	hypothetical protein	SM_b20376 hypothetical protein
