Name,Sequence Name,Type,Minimum,Maximum,Direction,gene,locus_tag,old_locus_tag,protein_id,Length,product
RL_RS33100,NC_008378.1,gene,32000,32701,forward,,RL_RS33100,pRL120033,WP_011648829.1,702,
WP_011648830.1,NC_008378.1,CDS,32716,33681,forward,,RL_RS33105,pRL120034,WP_011648830.1,966,ROK family protein
RL_RS33105,NC_008378.1,gene,32716,33681,forward,,RL_RS33105,pRL120034,WP_011648830.1,966,
WP_011648831.1,NC_008378.1,CDS,34035,35297,forward,,RL_RS33110,pRL120035,WP_011648831.1,1263,ABC transporter substrate-binding protein
RL_RS33110,NC_008378.1,gene,34035,35297,forward,,RL_RS33110,pRL120035,WP_011648831.1,1263,
WP_011648832.1,NC_008378.1,CDS,35367,36353,forward,,RL_RS33115,pRL120036,WP_011648832.1,987,sugar ABC transporter permease
RL_RS33115,NC_008378.1,gene,35367,36353,forward,,RL_RS33115,pRL120036,WP_011648832.1,987,
WP_011648833.1,NC_008378.1,CDS,36353,37183,forward,,RL_RS33120,pRL120037,WP_011648833.1,831,carbohydrate ABC transporter permease
RL_RS33120,NC_008378.1,gene,36353,37183,forward,,RL_RS33120,pRL120037,WP_011648833.1,831,
WP_011648834.1,NC_008378.1,CDS,37195,38220,forward,,RL_RS33125,pRL120038,WP_011648834.1,1026,ATP-binding cassette domain-containing protein
RL_RS33125,NC_008378.1,gene,37195,38220,forward,,RL_RS33125,pRL120038,WP_011648834.1,1026,
WP_011648835.1,NC_008378.1,CDS,38284,39069,forward,,RL_RS33130,pRL120039,WP_011648835.1,786,trehalose utilization protein ThuA
RL_RS33130,NC_008378.1,gene,38284,39069,forward,,RL_RS33130,pRL120039,WP_011648835.1,786,
WP_011648836.1,NC_008378.1,CDS,39232,40269,forward,,RL_RS33135,pRL120040,WP_011648836.1,1038,Gfo/Idh/MocA family oxidoreductase
RL_RS33135,NC_008378.1,gene,39232,40269,forward,,RL_RS33135,pRL120040,WP_011648836.1,1038,
WP_011648837.1,NC_008378.1,CDS,40415,40810,reverse,,RL_RS33140,pRL120041,WP_011648837.1,396,DUF4112 domain-containing protein
RL_RS33140,NC_008378.1,gene,40415,40810,reverse,,RL_RS33140,pRL120041,WP_011648837.1,396,
WP_011648838.1,NC_008378.1,CDS,40981,42054,reverse,,RL_RS33145,pRL120042,WP_011648838.1,1074,alcohol dehydrogenase family protein
RL_RS33145,NC_008378.1,gene,40981,42054,reverse,,RL_RS33145,pRL120042,WP_011648838.1,1074,
WP_041936976.1,NC_008378.1,CDS,42069,43448,reverse,,RL_RS33150,pRL120043,WP_041936976.1,1380,aspartate aminotransferase family protein
RL_RS33150,NC_008378.1,gene,42069,43448,reverse,,RL_RS33150,pRL120043,WP_041936976.1,1380,
WP_011648840.1,NC_008378.1,CDS,43493,44989,reverse,,RL_RS33155,pRL120044,WP_011648840.1,1497,NAD-dependent succinate-semialdehyde dehydrogenase
RL_RS33155,NC_008378.1,gene,43493,44989,reverse,,RL_RS33155,pRL120044,WP_011648840.1,1497,
WP_011648841.1,NC_008378.1,CDS,45110,45607,reverse,,RL_RS33160,pRL120045,WP_011648841.1,498,Lrp/AsnC family transcriptional regulator
RL_RS33160,NC_008378.1,gene,45110,45607,reverse,,RL_RS33160,pRL120045,WP_011648841.1,498,
WP_011648842.1,NC_008378.1,CDS,45709,47094,forward,,RL_RS33165,pRL120046,WP_011648842.1,1386,PLP-dependent aminotransferase family protein
RL_RS33165,NC_008378.1,gene,45709,47094,forward,,RL_RS33165,pRL120046,WP_011648842.1,1386,
WP_011648843.1,NC_008378.1,CDS,47217,48002,forward,ehuA,RL_RS33170,pRL120047,WP_011648843.1,786,ectoine/hydroxyectoine ABC transporter ATP-binding protein EhuA
ehuA,NC_008378.1,gene,47217,48002,forward,ehuA,RL_RS33170,pRL120047,WP_011648843.1,786,
WP_011648844.1,NC_008378.1,CDS,48059,48907,forward,ehuB,RL_RS33175,pRL120048,WP_011648844.1,849,ectoine/hydroxyectoine ABC transporter substrate-binding protein EhuB
ehuB,NC_008378.1,gene,48059,48907,forward,ehuB,RL_RS33175,pRL120048,WP_011648844.1,849,
WP_003550191.1,NC_008378.1,CDS,49088,49747,forward,ehuC,RL_RS33180,pRL120049,WP_003550191.1,660,ectoine/hydroxyectoine ABC transporter permease subunit EhuC
ehuC,NC_008378.1,gene,49088,49747,forward,ehuC,RL_RS33180,pRL120049,WP_003550191.1,660,
WP_011648846.1,NC_008378.1,CDS,49752,50411,forward,ehuD,RL_RS33185,pRL120050,WP_011648846.1,660,ectoine/hydroxyectoine ABC transporter permease subunit EhuD
ehuD,NC_008378.1,gene,49752,50411,forward,ehuD,RL_RS33185,pRL120050,WP_011648846.1,660,
WP_011648847.1,NC_008378.1,CDS,50414,51193,forward,eutA,RL_RS33190,pRL120051,WP_011648847.1,780,ectoine utilization protein EutA
eutA,NC_008378.1,gene,50414,51193,forward,eutA,RL_RS33190,pRL120051,WP_011648847.1,780,
WP_011648848.1,NC_008378.1,CDS,51198,52199,forward,eutB,RL_RS33195,pRL120052,WP_011648848.1,1002,hydroxyectoine utilization dehydratase EutB
eutB,NC_008378.1,gene,51198,52199,forward,eutB,RL_RS33195,pRL120052,WP_011648848.1,1002,
WP_011648849.1,NC_008378.1,CDS,52196,53188,forward,eutC,RL_RS33200,pRL120053,WP_011648849.1,993,ectoine utilization protein EutC
eutC,NC_008378.1,gene,52196,53188,forward,eutC,RL_RS33200,pRL120053,WP_011648849.1,993,
WP_011648850.1,NC_008378.1,CDS,53221,54402,forward,doeA,RL_RS33205,pRL120054,WP_011648850.1,1182,ectoine hydrolase DoeA
doeA,NC_008378.1,gene,53221,54402,forward,doeA,RL_RS33205,pRL120054,WP_011648850.1,1182,
WP_011648851.1,NC_008378.1,CDS,54410,55417,forward,doeB,RL_RS33210,pRL120055,WP_011648851.1,1008,"N(2)-acetyl-L-2,4-diaminobutanoate deacetylase DoeB"
doeB,NC_008378.1,gene,54410,55417,forward,doeB,RL_RS33210,pRL120055,WP_011648851.1,1008,
WP_041936978.1,NC_008378.1,CDS,55461,57278,reverse,,RL_RS33215,pRL120056,WP_041936978.1,1818,methyl-accepting chemotaxis protein
RL_RS33215,NC_008378.1,gene,55461,57278,reverse,,RL_RS33215,pRL120056,WP_041936978.1,1818,
WP_028742565.1,NC_008378.1,CDS,57481,57729,forward,,RL_RS33220,,WP_028742565.1,249,type II toxin-antitoxin system VapB family antitoxin
RL_RS33220,NC_008378.1,gene,57481,57729,forward,,RL_RS33220,,WP_028742565.1,249,
WP_011648853.1,NC_008378.1,CDS,57726,58136,forward,,RL_RS33225,pRL120057,WP_011648853.1,411,type II toxin-antitoxin system VapC family toxin
RL_RS33225,NC_008378.1,gene,57726,58136,forward,,RL_RS33225,pRL120057,WP_011648853.1,411,
WP_028742563.1,NC_008378.1,CDS,58177,58425,reverse,,RL_RS33230,,WP_028742563.1,249,hypothetical protein
RL_RS33230,NC_008378.1,gene,58177,58425,reverse,,RL_RS33230,,WP_028742563.1,249,
WP_011648855.1,NC_008378.1,CDS,58681,59760,reverse,,RL_RS33235,pRL120059,WP_011648855.1,1080,DUF5666 domain-containing protein
RL_RS33235,NC_008378.1,gene,58681,59760,reverse,,RL_RS33235,pRL120059,WP_011648855.1,1080,
WP_011648856.1,NC_008378.1,CDS,59757,60650,reverse,,RL_RS33240,pRL120060,WP_011648856.1,894,DUF6502 family protein
RL_RS33240,NC_008378.1,gene,59757,60650,reverse,,RL_RS33240,pRL120060,WP_011648856.1,894,
WP_011648857.1,NC_008378.1,CDS,60806,61180,reverse,,RL_RS33245,pRL120061,WP_011648857.1,375,hypothetical protein
RL_RS33245,NC_008378.1,gene,60806,61180,reverse,,RL_RS33245,pRL120061,WP_011648857.1,375,
WP_011648858.1,NC_008378.1,CDS,61192,62238,reverse,,RL_RS33250,pRL120062,WP_011648858.1,1047,flagellar hook-associated family protein
RL_RS33250,NC_008378.1,gene,61192,62238,reverse,,RL_RS33250,pRL120062,WP_011648858.1,1047,
WP_011648859.1,NC_008378.1,CDS,62241,63701,reverse,flgK,RL_RS33255,pRL120063,WP_011648859.1,1461,flagellar hook-associated protein FlgK
flgK,NC_008378.1,gene,62241,63701,reverse,flgK,RL_RS33255,pRL120063,WP_011648859.1,1461,
WP_011648860.1,NC_008378.1,CDS,63715,65007,reverse,,RL_RS33260,pRL120064,WP_011648860.1,1293,flagellar hook protein FlgE
RL_RS33260,NC_008378.1,gene,63715,65007,reverse,,RL_RS33260,pRL120064,WP_011648860.1,1293,
WP_011648861.1,NC_008378.1,CDS,65328,66179,reverse,,RL_RS33265,pRL120065,WP_011648861.1,852,EF-hand domain-containing protein
RL_RS33265,NC_008378.1,gene,65328,66179,reverse,,RL_RS33265,pRL120065,WP_011648861.1,852,
WP_003550211.1,NC_008378.1,CDS,66344,66991,forward,,RL_RS33270,pRL120066,WP_003550211.1,648,TetR/AcrR family transcriptional regulator
RL_RS33270,NC_008378.1,gene,66344,66991,forward,,RL_RS33270,pRL120066,WP_003550211.1,648,
WP_011648862.1,NC_008378.1,CDS,67233,69416,forward,,RL_RS33275,pRL120067,WP_011648862.1,2184,DUF1217 domain-containing protein
RL_RS33275,NC_008378.1,gene,67233,69416,forward,,RL_RS33275,pRL120067,WP_011648862.1,2184,
WP_028742558.1,NC_008378.1,CDS,69635,71422,forward,,RL_RS33280,pRL120068,WP_028742558.1,1788,PAS domain-containing methyl-accepting chemotaxis protein
RL_RS33280,NC_008378.1,gene,69635,71422,forward,,RL_RS33280,pRL120068,WP_028742558.1,1788,
WP_011648864.1,NC_008378.1,CDS,71462,72265,reverse,,RL_RS33285,pRL120069,WP_011648864.1,804,crotonase/enoyl-CoA hydratase family protein
RL_RS33285,NC_008378.1,gene,71462,72265,reverse,,RL_RS33285,pRL120069,WP_011648864.1,804,
WP_011648865.1,NC_008378.1,CDS,72354,72944,forward,,RL_RS33290,pRL120070,WP_011648865.1,591,TetR/AcrR family transcriptional regulator
RL_RS33290,NC_008378.1,gene,72354,72944,forward,,RL_RS33290,pRL120070,WP_011648865.1,591,
WP_011648866.1,NC_008378.1,CDS,73201,74040,forward,,RL_RS33295,pRL120071,WP_011648866.1,840,transporter substrate-binding domain-containing protein
RL_RS33295,NC_008378.1,gene,73201,74040,forward,,RL_RS33295,pRL120071,WP_011648866.1,840,
WP_028742556.1,NC_008378.1,CDS,74158,74820,forward,,RL_RS33300,pRL120072,WP_028742556.1,663,amino acid ABC transporter permease
RL_RS33300,NC_008378.1,gene,74158,74820,forward,,RL_RS33300,pRL120072,WP_028742556.1,663,
WP_011648868.1,NC_008378.1,CDS,74826,75485,forward,,RL_RS33305,pRL120073,WP_011648868.1,660,amino acid ABC transporter permease
RL_RS33305,NC_008378.1,gene,74826,75485,forward,,RL_RS33305,pRL120073,WP_011648868.1,660,
WP_011648869.1,NC_008378.1,CDS,75498,76268,forward,,RL_RS33310,pRL120074,WP_011648869.1,771,amino acid ABC transporter ATP-binding protein
RL_RS33310,NC_008378.1,gene,75498,76268,forward,,RL_RS33310,pRL120074,WP_011648869.1,771,
WP_011648870.1,NC_008378.1,CDS,76413,76667,forward,,RL_RS33315,pRL120075,WP_011648870.1,255,plasmid stabilization protein
RL_RS33315,NC_008378.1,gene,76413,76667,forward,,RL_RS33315,pRL120075,WP_011648870.1,255,
WP_011648871.1,NC_008378.1,CDS,76664,77089,forward,,RL_RS33320,pRL120076,WP_011648871.1,426,type II toxin-antitoxin system VapC family toxin
RL_RS33320,NC_008378.1,gene,76664,77089,forward,,RL_RS33320,pRL120076,WP_011648871.1,426,
WP_011648872.1,NC_008378.1,CDS,77283,78044,forward,,RL_RS33325,pRL120077,WP_011648872.1,762,GntR family transcriptional regulator
RL_RS33325,NC_008378.1,gene,77283,78044,forward,,RL_RS33325,pRL120077,WP_011648872.1,762,
WP_011648873.1,NC_008378.1,CDS,78038,78823,forward,,RL_RS33330,pRL120078,WP_011648873.1,786,transporter substrate-binding domain-containing protein
RL_RS33330,NC_008378.1,gene,78038,78823,forward,,RL_RS33330,pRL120078,WP_011648873.1,786,
WP_011648874.1,NC_008378.1,CDS,78901,79572,forward,,RL_RS33335,pRL120079,WP_011648874.1,672,amino acid ABC transporter permease
RL_RS33335,NC_008378.1,gene,78901,79572,forward,,RL_RS33335,pRL120079,WP_011648874.1,672,
WP_011648875.1,NC_008378.1,CDS,79569,80228,forward,,RL_RS33340,pRL120080,WP_011648875.1,660,amino acid ABC transporter permease
RL_RS33340,NC_008378.1,gene,79569,80228,forward,,RL_RS33340,pRL120080,WP_011648875.1,660,
WP_011648876.1,NC_008378.1,CDS,80206,80931,forward,,RL_RS33345,pRL120081,WP_011648876.1,726,amino acid ABC transporter ATP-binding protein
RL_RS33345,NC_008378.1,gene,80206,80931,forward,,RL_RS33345,pRL120081,WP_011648876.1,726,
WP_011648877.1,NC_008378.1,CDS,80979,81350,reverse,,RL_RS33350,pRL120082,WP_011648877.1,372,type II toxin-antitoxin system RelE/ParE family toxin
RL_RS33350,NC_008378.1,gene,80979,81350,reverse,,RL_RS33350,pRL120082,WP_011648877.1,372,
WP_011648878.1,NC_008378.1,CDS,81350,81607,reverse,,RL_RS33355,pRL120083,WP_011648878.1,258,hypothetical protein
RL_RS33355,NC_008378.1,gene,81350,81607,reverse,,RL_RS33355,pRL120083,WP_011648878.1,258,
WP_011648879.1,NC_008378.1,CDS,81718,82224,reverse,,RL_RS33360,pRL120084,WP_011648879.1,507,RES family NAD  phosphorylase
RL_RS33360,NC_008378.1,gene,81718,82224,reverse,,RL_RS33360,pRL120084,WP_011648879.1,507,
WP_011648880.1,NC_008378.1,CDS,82221,82709,reverse,,RL_RS33365,pRL120085,WP_011648880.1,489,DUF2384 domain-containing protein
RL_RS33365,NC_008378.1,gene,82221,82709,reverse,,RL_RS33365,pRL120085,WP_011648880.1,489,
WP_011648881.1,NC_008378.1,CDS,82983,83717,reverse,,RL_RS33370,pRL120086,WP_011648881.1,735,PspA/IM30 family protein
RL_RS33370,NC_008378.1,gene,82983,83717,reverse,,RL_RS33370,pRL120086,WP_011648881.1,735,
WP_032992943.1,NC_008378.1,CDS,83714,84160,reverse,,RL_RS33375,pRL120087,WP_032992943.1,447,YjfI family protein
RL_RS33375,NC_008378.1,gene,83714,84160,reverse,,RL_RS33375,pRL120087,WP_032992943.1,447,
WP_011648883.1,NC_008378.1,CDS,84264,85319,forward,,RL_RS33380,pRL120088,WP_011648883.1,1056,ion channel
RL_RS33380,NC_008378.1,gene,84264,85319,forward,,RL_RS33380,pRL120088,WP_011648883.1,1056,
WP_011648884.1,NC_008378.1,CDS,85316,85972,forward,,RL_RS33385,pRL120089,WP_011648884.1,657,YjfK family protein
RL_RS33385,NC_008378.1,gene,85316,85972,forward,,RL_RS33385,pRL120089,WP_011648884.1,657,
WP_011648885.1,NC_008378.1,CDS,86007,86408,forward,,RL_RS33390,pRL120090,WP_011648885.1,402,DUF350 domain-containing protein
RL_RS33390,NC_008378.1,gene,86007,86408,forward,,RL_RS33390,pRL120090,WP_011648885.1,402,
WP_011648886.1,NC_008378.1,CDS,86421,87014,forward,,RL_RS33395,pRL120091,WP_011648886.1,594,DUF1190 domain-containing protein
RL_RS33395,NC_008378.1,gene,86421,87014,forward,,RL_RS33395,pRL120091,WP_011648886.1,594,
WP_011648887.1,NC_008378.1,CDS,87016,88173,forward,,RL_RS33400,pRL120092,WP_011648887.1,1158,glutathionylspermidine synthase family protein
RL_RS33400,NC_008378.1,gene,87016,88173,forward,,RL_RS33400,pRL120092,WP_011648887.1,1158,
WP_011648888.1,NC_008378.1,CDS,88560,89444,reverse,,RL_RS33405,pRL120093,WP_011648888.1,885,intradiol ring-cleavage dioxygenase
RL_RS33405,NC_008378.1,gene,88560,89444,reverse,,RL_RS33405,pRL120093,WP_011648888.1,885,
WP_011648889.1,NC_008378.1,CDS,89452,91206,reverse,,RL_RS33410,pRL120094,WP_011648889.1,1755,FAD-dependent monooxygenase
RL_RS33410,NC_008378.1,gene,89452,91206,reverse,,RL_RS33410,pRL120094,WP_011648889.1,1755,
WP_011648890.1,NC_008378.1,CDS,91199,92284,reverse,,RL_RS33415,pRL120095,WP_011648890.1,1086,branched-chain amino acid ABC transporter permease
RL_RS33415,NC_008378.1,gene,91199,92284,reverse,,RL_RS33415,pRL120095,WP_011648890.1,1086,
WP_011648891.1,NC_008378.1,CDS,92294,93157,reverse,,RL_RS33420,pRL120096,WP_011648891.1,864,branched-chain amino acid ABC transporter permease
RL_RS33420,NC_008378.1,gene,92294,93157,reverse,,RL_RS33420,pRL120096,WP_011648891.1,864,
WP_011648892.1,NC_008378.1,CDS,93144,93863,reverse,,RL_RS33425,pRL120097,WP_011648892.1,720,ABC transporter ATP-binding protein
RL_RS33425,NC_008378.1,gene,93144,93863,reverse,,RL_RS33425,pRL120097,WP_011648892.1,720,
WP_028742544.1,NC_008378.1,CDS,93863,94582,reverse,,RL_RS33430,pRL120098,WP_028742544.1,720,ABC transporter ATP-binding protein
RL_RS33430,NC_008378.1,gene,93863,94582,reverse,,RL_RS33430,pRL120098,WP_028742544.1,720,
WP_011648894.1,NC_008378.1,CDS,94634,95914,reverse,,RL_RS33435,pRL120099,WP_011648894.1,1281,ABC transporter substrate-binding protein
RL_RS33435,NC_008378.1,gene,94634,95914,reverse,,RL_RS33435,pRL120099,WP_011648894.1,1281,
WP_011648895.1,NC_008378.1,CDS,95970,97028,reverse,,RL_RS33440,pRL120100,WP_011648895.1,1059,maleylacetate reductase
RL_RS33440,NC_008378.1,gene,95970,97028,reverse,,RL_RS33440,pRL120100,WP_011648895.1,1059,
WP_011648896.1,NC_008378.1,CDS,97025,97888,reverse,,RL_RS33445,pRL120101,WP_011648896.1,864,"6-chlorohydroxyquinol-1,2-dioxygenase"
RL_RS33445,NC_008378.1,gene,97025,97888,reverse,,RL_RS33445,pRL120101,WP_011648896.1,864,
WP_011648897.1,NC_008378.1,CDS,97984,98934,forward,,RL_RS33450,pRL120102,WP_011648897.1,951,LysR family transcriptional regulator
RL_RS33450,NC_008378.1,gene,97984,98934,forward,,RL_RS33450,pRL120102,WP_011648897.1,951,
WP_011648899.1,NC_008378.1,CDS,99541,100443,forward,,RL_RS33460,pRL120104,WP_011648899.1,903,LysR family transcriptional regulator
RL_RS33460,NC_008378.1,gene,99541,100443,forward,,RL_RS33460,pRL120104,WP_011648899.1,903,
WP_011648900.1,NC_008378.1,CDS,100563,101459,forward,,RL_RS33465,pRL120105,WP_011648900.1,897,NAD(P)-dependent oxidoreductase
RL_RS33465,NC_008378.1,gene,100563,101459,forward,,RL_RS33465,pRL120105,WP_011648900.1,897,
WP_011648901.1,NC_008378.1,CDS,101512,102480,forward,,RL_RS33470,pRL120106,WP_011648901.1,969,aldo/keto reductase
RL_RS33470,NC_008378.1,gene,101512,102480,forward,,RL_RS33470,pRL120106,WP_011648901.1,969,
WP_011648902.1,NC_008378.1,CDS,102545,103369,forward,,RL_RS33475,pRL120107,WP_011648902.1,825,aldo/keto reductase
RL_RS33475,NC_008378.1,gene,102545,103369,forward,,RL_RS33475,pRL120107,WP_011648902.1,825,
WP_011655270.1,NC_008378.1,CDS,103460,104491,forward,,RL_RS33480,pRL120108,WP_011655270.1,1032,aldo/keto reductase
RL_RS33480,NC_008378.1,gene,103460,104491,forward,,RL_RS33480,pRL120108,WP_011655270.1,1032,
