protein_id,locus_match,new_gene,gene,name,description
WP_011654106.1,,RL_RS27620,pRL100040,-,hypothetical protein
WP_011654107.1,,RL_RS27625,pRL100041,-,hypothetical protein
WP_011654108.1,,RL_RS27630,pRL100042,-,hypothetical protein
,,RL_RS27635,pRL100043,-,-
,,,pRL100053A,-,hypothetical protein
,,RL_RS27690,pRL100054,-,"putative glutamate dehydrogenase, pseudogene"
WP_011654119.1,SMc00387,RL_RS27700,pRL100056,-,hypothetical protein
WP_028743864.1,,RL_RS27705,pRL100057,-,putative AsnC family transcriptional regulator
WP_011654121.1,,RL_RS27710,pRL100058,-,putative transmembrane protein
,,RL_RS27715,pRL100059,-,"putative aldolase, pseudogene"
,,RL_RS27720,pRL100060,-,-
WP_011654124.1,,RL_RS27735,pRL100063,-,putative ABC transporter permease component
WP_011654125.1,,RL_RS27740,pRL100064,-,hypothetical protein
WP_049778464.1,SM_b20773,RL_RS27745,pRL100065,-,putative GntR transcriptional regulator
WP_011654127.1,,RL_RS27750,pRL100066,-,putative hydrolase
WP_028743861.1,,RL_RS27755,pRL100067,-,putative racemase/decarboxylase
WP_011654129.1,SMc02416,RL_RS27760,pRL100068,-,putative aminohydrolase
WP_011654130.1,,RL_RS27765,pRL100069,-,hypothetical protein
WP_028743859.1,,RL_RS27770,pRL100070,-,putative ATP-binding component of ABC transporter
WP_011654132.1,,RL_RS27775,pRL100071,-,putative ABC transporter permease component
,,RL_RS27785,pRL100074,-,"putative AraC family transcriptional regulator,pseudogene"
,,RL_RS27790,pRL100075,-,putative ferredoxin
WP_011654136.1,,RL_RS27795,pRL100076,-,hypothetical protein
,,,pRL100077,-,hypothetical protein
,,RL_RS27835,pRL100084,-,-
,,,pRL100086,-,hypothetical protein
WP_011654145.1,,RL_RS27845,pRL100087,-,putative 1-aminocyclopropane-1-carboxylate deaminase
,,RL_RS39405,pRL100090,-,-
,,RL_RS38310,pRL100092,-,-
WP_028744322.1,,RL_RS27870,pRL100093,-,hypothetical protein
,,,pRL100093A,-,-
,,RL_RS40020,pRL100094,-,-
,,,pRL100095,-,hypothetical protein
,,,pRL100096,-,-
WP_011654150.1,,RL_RS27890,pRL100097,-,hypothetical protein
WP_028744288.1,,RL_RS27895,pRL100098,-,hypothetical protein
WP_011654152.1,,RL_RS27900,pRL100099,-,hypothetical protein
WP_155251706.1,,RL_RS39925,pRL100100,-,-
,,,pRL100100A,-,-
,,RL_RS27910,pRL100101,-,-
WP_244432405.1,,RL_RS27920,pRL100104,-,hypothetical protein
WP_011654155.1,,RL_RS27925,pRL100105,-,putative polyhydroxyalkanoate synthase subunit C
,,,pRL100106,-,hypothetical protein
WP_032993738.1,,RL_RS27930,pRL100107,-,hypothetical protein
WP_011654158.1,,RL_RS27935,pRL100108,-,hypothetical protein
WP_011654159.1,,RL_RS27940,pRL100109,-,putative replication protein RepA
,,,pRL100110,-,hypothetical protein
WP_011654162.1,,RL_RS27950,pRL100112,-,putative dehalogenase-hydrolase
,,,pRL100113,-,hypothetical protein
WP_011654164.1,,RL_RS27960,pRL100114,-,hypothetical protein
,,RL_RS27965,pRL100115,-,-
WP_011654165.1,,RL_RS27975,pRL100119,-,putative propionate CoA-transferase
WP_011654166.1,,RL_RS27980,pRL100120,-,hypothetical protein
WP_011654167.1,,RL_RS27985,pRL100121,-,acetyl-coenzyme A synthetase
WP_011654168.1,,RL_RS27990,pRL100122,-,putative adenylate kinase
WP_011654169.1,,RL_RS37010,pRL100123,-,hypothetical protein
,,RL_RS28000,pRL100124,-,putative transposase family protein
,,,pRL100126A,-,hypothetical protein
WP_028744161.1,,RL_RS28015,pRL100127,-,putative ATP-binding component of ABC transporter
WP_011654175.1,,RL_RS28020,pRL100128,-,putative ATP-binding ABC transporter
WP_011654176.1,,RL_RS28025,pRL100129,-,putative permease component of ABC transporter
WP_028744162.1,,RL_RS28030,pRL100130,-,putative permease component of ABC transporter
WP_011654178.1,,RL_RS28035,pRL100131,-,putative substrate-binding component of ABC transporter
WP_028744164.1,,RL_RS28050,pRL100135,-,"putative 1,3-propanediol dehydrogenase"
WP_011654183.1,,RL_RS28055,pRL100136,-,putative beta lactamase/homoserine lactonase
WP_011654184.1,,RL_RS28060,pRL100137,-,putative homoserine O-acetyltransferase
,,,pRL100138,-,putative MerR family transcriptional regulator
WP_011654186.1,SMc05015,RL_RS28070,pRL100139,-,putative DNA recombinase
,,RL_RS38365,pRL100141,-,-
,,RL_RS28090,pRL100142,-,-
WP_028744172.1,,RL_RS28095,pRL100143,-,-
WP_011654190.1,SMa1586,RL_RS38370,pRL100146,-,hypothetical protein
WP_011654191.1,SMa1702,RL_RS28120,pRL100147,-,hypothetical protein
,,RL_RS28125,pRL100148,-,"putative thiamine biosynthesis protein,pseudogene"
,,,pRL100149,-,hypothetical protein
WP_011654195.1,SM_b20935,RL_RS28135,pRL100151,-,putative transccriptional regulator
WP_011654198.1,,RL_RS28150,pRL100154,-,hypothetical protein
,,,pRL100155,-,putative transmembrane protein
WP_011654200.1,SMa0834,RL_RS38405,pRL100156,-,putative ferredoxin
,,,pRL100157,-,-
WP_020048083.1,,RL_RS28190,pRL100163,-,hypothetical protein
WP_011654208.1,,RL_RS28195,pRL100164,-,putative autoinducer synthesis protein
WP_011654211.1,,RL_RS28220,pRL100169,-,rhizosphere expressed protein RhiA
WP_077978095.1,,RL_RS28225,pRL100170,-,putative rhizosphere induced protein RhiB
WP_011654213.1,,RL_RS28230,pRL100171,-,putative rhizosphere induced protein
WP_003551769.1,,RL_RS28235,pRL100172,-,putative transcriptional regulatory protein
WP_026264773.1,,RL_RS28245,pRL100173,-,putative outer-membrane immunogenic protein precursor
,,,pRL100174,-,hypothetical protein
WP_011654216.1,,RL_RS28255,pRL100175,-,putative nodulation protein
,,RL_RS40825,pRL100176,-,-
,,,pRL100177,-,putative homologue of eukaryotic tubulin
WP_011654218.1,,RL_RS28270,pRL100178,-,putative nodulation protein
WP_011654219.1,SMa0874,RL_RS28275,pRL100179,-,nodulation protein
,,,pRL100190,-,hypothetical protein
,,,pRL100191,-,hypothetical protein
WP_011654228.1,,RL_RS28335,pRL100192,-,hypothetical protein
WP_011654229.1,,RL_RS28340,pRL100193,-,hypothetical protein
,,,pRL100194,-,hypothetical protein
,,,pRL100202A,-,hypothetical protein
WP_011654243.1,SMa1210,RL_RS28430,pRL100209,-,nitrogen fixation cation transport protein FixH
WP_011654244.1,SMa1209,RL_RS28435,pRL100210,-,transmembrane nitrogen fixation cation transport protein FixI
WP_003549679.1,,RL_RS28440,pRL100210A,-,putative component of cation pump
WP_011654245.1,,RL_RS28445,pRL100211,-,putative CRP/FNR family transcriptional regulator protein
,,,pRL100213,-,hypothetical protein
WP_011654248.1,,RL_RS28460,pRL100214,-,putative LysR family transcriptional regulator
WP_011654249.1,,RL_RS28465,pRL100215,-,putative DNA conjugation-related protein
WP_011654250.1,,RL_RS28470,pRL100216,-,hypothetical protein
WP_011654251.1,,RL_RS28475,pRL100217,-,putative conjugal transfer protein
WP_011654256.1,,RL_RS28505,pRL100222,-,hypothetical protein
WP_011654259.1,SMc02256,RL_RS28520,pRL100225,-,putative amidohydrolase
WP_011654260.1,,RL_RS28525,pRL100226,-,putative acetyltransferase
,,,pRL100227,-,putative transmembrane ABC transport protein
WP_011654263.1,,RL_RS28545,pRL100229,-,putative substrate-binding ABC transport protein
WP_032993185.1,,RL_RS28550,pRL100230,-,putative monooxygenase
WP_011654265.1,,RL_RS28555,pRL100231,-,putative thioredoxin
WP_011654266.1,SM_b20573,RL_RS28560,pRL100232,-,putative NADH-dependent FMN reductase
,,,pRL100233,-,hypothetical protein
WP_011654268.1,,RL_RS28570,pRL100234,-,hypothetical protein
WP_028743214.1,,RL_RS28575,pRL100235,-,hypothetical protein
WP_011654270.1,,RL_RS28580,pRL100236,-,putative cation transport protein ChaC
WP_011654271.1,SM_b21528,RL_RS28585,pRL100237,-,putative permease component of ABC transporter
WP_011654272.1,SM_b21527,RL_RS28590,pRL100238,-,putative ATP-binding component of ABC transporter
WP_028743212.1,SM_b21526,RL_RS28595,pRL100239,-,putative substrate-binding ABC transport protein
WP_011654274.1,,RL_RS28600,pRL100240,-,hypothetical protein
WP_011654275.1,SMa0789,RL_RS28605,pRL100241,-,putative GntR family transcriptional regulator
WP_011654277.1,SMa0792,RL_RS28615,pRL100243,-,putative hydrolase
WP_011654278.1,SMa0793,RL_RS28620,pRL100244,-,putative flavin monooxygenase/reductase
WP_011654279.1,SMa0794,RL_RS28625,pRL100245,-,putative monooxygenase
WP_011654281.1,SMa0799,RL_RS28640,pRL100248,-,putative spermidine/putrescine-binding periplasmic protein ABC transporter component
WP_011654282.1,SMa0800,RL_RS28645,pRL100249,-,putative spermidine/putrescine transport system ABC transporter permease protein
WP_011654283.1,SMa0802,RL_RS28650,pRL100250,-,putative spermidine/putrescine transport system ABC transporter permease component
WP_011654284.1,SMa0803,RL_RS28655,pRL100251,-,putative ABC transporter component
WP_011654285.1,SMc02780,RL_RS28660,pRL100252,-,succinate-semialdehyde dehydrogenase [NADP+]
WP_011654286.1,,RL_RS40855,pRL100253,-,hypothetical protein
WP_011654287.1,SMc01177,RL_RS28675,pRL100255,-,hypothetical protein
WP_011654288.1,,RL_RS28680,pRL100256,-,putative ATP-binding component of ABC transporter
WP_011654289.1,,RL_RS28685,pRL100257,-,putative permease component of ABC transporter
WP_011654290.1,,RL_RS28690,pRL100258,-,putative permease component of ABC transporter
WP_011654291.1,,RL_RS28695,pRL100259,-,putative substrate-binding component of ABC transporter
WP_011654292.1,,RL_RS28700,pRL100260,-,putative alfa-L-rhamnosidase
WP_011654294.1,,RL_RS28710,pRL100262,-,putative transcriptional regulator
WP_011654295.1,,RL_RS28715,pRL100263,-,putative substrate-binding component of ABC transporter
WP_011654296.1,,RL_RS28720,pRL100264,-,putative permease component of ABC transporter
WP_011654297.1,,RL_RS28725,pRL100265,-,putative permease component of ABC transporter
WP_011654298.1,,RL_RS28730,pRL100266,-,hypothetical protein
WP_011654299.1,,RL_RS28735,pRL100267,-,putative ATP-binding component of ABC transporter
WP_003538660.1,SMc03259,RL_RS28740,pRL100268,-,putative dihydrodipicolinate synthase
WP_011654300.1,SM_b20258,RL_RS28745,pRL100269,-,putative GntR family transcriptional regulator
WP_011654301.1,,RL_RS28750,pRL100270,-,putative proline iminopeptidase
WP_011654302.1,,RL_RS28755,pRL100271,-,putative dipeptidase
WP_011654304.1,,RL_RS28770,pRL100274,-,putative fucosidase
WP_032987221.1,,RL_RS28775,pRL100275,-,putative transcriptional regulator
WP_011654305.1,,RL_RS28780,pRL100276,-,putative substrate-binding component of ABC transporter
WP_011654306.1,,RL_RS28785,pRL100277,-,putative permease component of ABC transporter
WP_011654307.1,,RL_RS28790,pRL100278,-,putative permease component of ABC transporter
WP_011654308.1,,RL_RS28795,pRL100279,-,putative ATP-binding component of ABC transporter
WP_011654309.1,,RL_RS28800,pRL100280,-,putative ATP-binding ABC transporter
WP_011654310.1,,RL_RS28805,pRL100281,-,puttive inositol utilisation protein
WP_011654311.1,,RL_RS28810,pRL100282,-,putative glyosyl hydrolase with strong homologies to mouse alpha-L-iduronidase
WP_041936825.1,,RL_RS28815,pRL100283,-,hypothetical protein
WP_011654313.1,,RL_RS28820,pRL100284,-,putative 2-hydroxyacid dehydrogenase
WP_011654317.1,,RL_RS28840,pRL100288,-,putative two-component response regulator transcriptional regulatory protein
WP_011654318.1,SM_b21560,RL_RS28845,pRL100289,-,putative two-component sensor histidine kinase transcriptional regulator
WP_011654319.1,,RL_RS28850,pRL100290,-,putative CBS domain protein
WP_011654320.1,SMc02082,RL_RS28855,pRL100291,-,"putative outer membrane protein, similar to nodulation protein NodT"
WP_011654324.1,SM_b21122,RL_RS28875,pRL100295,-,putative methylcrotonyl-CoA carboxylase
WP_011654325.1,SM_b21121,RL_RS28880,pRL100296,-,putative isovaleryl-CoA dehydrogenase
WP_011654326.1,,RL_RS28885,pRL100297,-,hypothetical protein
WP_011654327.1,,RL_RS28890,pRL100298,-,hypothetical protein
WP_011654328.1,SMa1454,RL_RS28895,pRL100299,-,putative AraC family transcription factor
WP_011654329.1,SMa1452,RL_RS28900,pRL100300,-,putative short-chain dehydrogenase/reductase family protein
WP_011654330.1,SMa1450,RL_RS28905,pRL100301,-,putative acyl-CoA thiolase
WP_011654331.1,SM_b20753,RL_RS28910,pRL100302,-,putative acyl-CoA dehydrogenase
WP_011654333.1,SMc03202,RL_RS28920,pRL100304,-,putative 2-oxoisovalerate dehydrogenase beta subunit
WP_011654334.1,SMc03203,RL_RS28925,pRL100305,-,putative lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex
WP_011654335.1,SMc03204,RL_RS28930,pRL100306,-,putative dihydrolipoyl dehydrogenase
,,RL_RS38480,pRL100307,-,-
,,,pRL100308,-,-
WP_011654336.1,,RL_RS28950,pRL100309,-,putative calcium-binding domain protein
,,,pRL100310,-,-
WP_011654337.1,,RL_RS28965,pRL100311,-,putative transmembrane polysaccharide synthesis protein
WP_011654338.1,,RL_RS28970,pRL100312,-,putative hydrolase
WP_011654339.1,SM_b20469,RL_RS28975,pRL100313,-,hypothetical protein
,,,pRL100313A,-,hypothetical protein
WP_011654341.1,SMa1323,RL_RS28980,pRL100314,-,hypothetical protein
,,,pRL100314A,-,hypothetical protein
WP_011654343.1,,RL_RS28990,pRL100316,-,hypothetical protein
,,,pRL100317,-,hypothetical protein
WP_011654345.1,,RL_RS29000,pRL100318,-,hypothetical protein
WP_011654346.1,,RL_RS29005,pRL100319,-,hypothetical protein
WP_011654347.1,,RL_RS29010,pRL100320,-,putative polybetahydroxybutyrate synthesis PhnA protein
WP_244432398.1,,RL_RS29015,pRL100321,-,hypothetical protein
WP_244432407.1,,RL_RS29020,pRL100322,-,hypothetical protein
,,,pRL100323,-,hypothetical protein
WP_041936832.1,,RL_RS29025,pRL100324,-,hypothetical protein
WP_011654352.1,SMa1747,RL_RS29030,pRL100325,-,putative outer membrane siderophore receptor
WP_011654353.1,,RL_RS29035,pRL100326,-,transmembrane siderophore receptor
WP_011654354.1,,RL_RS29040,pRL100327,-,siderophore receptor component FhuD
WP_041936833.1,SMa1741,RL_RS29045,pRL100328,-,siderophore receptor FhuC
WP_011654356.1,,RL_RS29050,pRL100329,-,hypothetical protein
WP_011654357.1,,RL_RS29055,pRL100330,-,hypothetical protein
WP_011654358.1,,RL_RS29060,pRL100331,-,putative LysR transcriptional regulator
,,,pRL100332,-,hypothetical protein
WP_041936834.1,,RL_RS29070,pRL100333,-,hypothetical protein
WP_011654361.1,SMa1501,RL_RS29075,pRL100334,-,hypothetical protein
WP_011654362.1,SMa2115,RL_RS29080,pRL100335,-,putative glutathione-S-transferase protein
WP_011654363.1,SMc02414,RL_RS29085,pRL100336,-,putative hydroxylchloroatrazine ethylaminohydrolase
WP_011654364.1,,RL_RS29090,pRL100337,-,putative substrate-binding component of ABC transporter
WP_011654365.1,,RL_RS29095,pRL100338,-,putative ATP-binding component of ABC transporter
WP_011654366.1,,RL_RS29100,pRL100339,-,putative permease component of ABC transporter
WP_011654367.1,,RL_RS29105,pRL100340,-,putative transport protein
WP_011654368.1,,RL_RS29110,pRL100341,-,hypothetical protein
WP_011654369.1,SMc02862,RL_RS29115,pRL100342,-,putative pit accessory protein
WP_011654370.1,SMc02861,RL_RS29120,pRL100343,-,putative phosphate transporter
WP_028743134.1,SMa0585,RL_RS29125,pRL100344,-,putative nitrate transport component protein
WP_011654372.1,SMa0583,RL_RS29130,pRL100345,-,putative nitrate transporter permease component
WP_011654373.1,SMa0581,RL_RS29135,pRL100346,-,putative nitrate transport component protein
WP_011654374.1,,RL_RS29140,pRL100347,-,putative GntR family transcriptional regulator
WP_011654375.1,,RL_RS29145,pRL100348,-,putative transport protein
WP_011654376.1,,RL_RS29150,pRL100349,-,putative permease component of ABC transporter
WP_011654377.1,,RL_RS29155,pRL100350,-,putative permease component of ABC transporter
WP_011654378.1,,RL_RS29160,pRL100351,-,putative formamidase
WP_011654379.1,,RL_RS29165,pRL100352,-,putative amidase
WP_011654380.1,,RL_RS29170,pRL100353,-,putative cyanuric acid amidohydrolase
WP_011654381.1,,RL_RS29175,pRL100354,-,putative ABC transporter component
WP_003538527.1,,RL_RS29195,pRL100358,-,putative permease component of ABC transporter
WP_028743130.1,,RL_RS29200,pRL100359,-,putative permease component of ABC transporter
WP_011654386.1,,RL_RS29205,pRL100360,-,putative substrate-binding component of ABC transporter
WP_011654387.1,,RL_RS29210,pRL100361,-,putative GntR family transcriptional regulator
WP_011654388.1,,RL_RS29215,pRL100362,-,putative LysR family transcriptional regulator
WP_011654389.1,,RL_RS29220,pRL100363,-,putative nitrilotriacetate monooxygenase component A
WP_011654390.1,,RL_RS29225,pRL100364,-,putative flavin reductase
WP_011654391.1,SMc01969,RL_RS29230,pRL100365,-,putative aminotransferase
WP_011654392.1,SMc01967,RL_RS29235,pRL100366,-,putative agmatinase
WP_011654393.1,SM_b20491,RL_RS29240,pRL100367,-,hypothetical protein
WP_011654394.1,SMa0137,RL_RS29245,pRL100368,-,putative transmembrane GGDEF-EAL protein
WP_011654395.1,,RL_RS29250,pRL100369,-,putative substrate-binding component of ABC transporter
WP_011654396.1,SM_b20080,RL_RS29255,pRL100370,-,glutathione-independent formaldehyde dehydrogenase
WP_011654397.1,,RL_RS29260,pRL100371,-,putative transmembrane protein
WP_041936853.1,SMc03975,RL_RS29265,pRL100372,-,putative LysR family transcriptional regulator
WP_011654399.1,SMc01636,RL_RS29270,pRL100373,-,putative AraC family transcriptional regulator
WP_011654400.1,SMc01637,RL_RS29275,pRL100374,-,hypothetical protein
WP_011654401.1,SMc01638,RL_RS29280,pRL100375,-,putative hydroxylacyl-CoA dehydrogenase
WP_011654402.1,SMc01639,RL_RS29285,pRL100376,-,putative acyl-CoA dehydrogenase
WP_011654403.1,SMc01640,RL_RS29290,pRL100377,-,putative acyl-CoA synthetase
WP_011654406.1,SMc01644,RL_RS29310,pRL100381,-,putative permease component of ABC transporter
WP_011654407.1,SMc01645,RL_RS29315,pRL100382,-,putative ATP-binding component of ABC transporter
WP_011654408.1,SMc01648,RL_RS29320,pRL100383,-,putative peptidase
WP_011654412.1,,RL_RS29340,pRL100387,-,putative gluconolactonase precursor
WP_041936836.1,,RL_RS29345,pRL100388,-,putative transcriptional regulator
WP_011654414.1,SMa0512,RL_RS29350,pRL100389,-,L-idonate 5-dehydrogenase
WP_041936837.1,SMa0510,RL_RS29355,pRL100390,-,putative gluconate dehydrogenase
WP_011654416.1,,RL_RS29360,pRL100391,-,putative gluconate 5-dehydrogenase
WP_011654417.1,SM_b21119,RL_RS29365,pRL100392,-,putative gluconate kinase
WP_011654418.1,SMa0516,RL_RS29370,pRL100393,-,putative NAD-binding protein
WP_011654419.1,,RL_RS29375,pRL100394,-,putative substrate-binding component of ABC transporter
WP_011654420.1,,RL_RS29380,pRL100395,-,putative permease component of ABC transporter
WP_011654421.1,,RL_RS29385,pRL100396,-,hypothetical protein
WP_011654422.1,SMa0087,RL_RS29390,pRL100397,-,hypothetical protein
WP_011654423.1,,RL_RS29395,pRL100398,-,putative ABC transporter component
WP_041936838.1,,RL_RS29400,pRL100399,-,putative permease component of ABC transporter
WP_011654425.1,,RL_RS29405,pRL100400,-,putative ATP-binding component of ABC transporter
WP_011654426.1,SM_b21691,RL_RS29410,pRL100401,-,putative nitrilotriacetate monooxygenase component a
WP_011654427.1,,RL_RS29415,pRL100402,-,putative sulfonate monooxygenase
WP_011654428.1,,RL_RS29420,pRL100403,-,putative methyl-accepting chemotaxis receptor
WP_011654429.1,,RL_RS29425,pRL100404,-,putative transmembrane sodium-solute symporter
WP_003555492.1,,RL_RS29430,pRL100405,-,putative transmembrane protein
WP_011654430.1,,RL_RS29435,pRL100406,-,putative two-component response regulator transcriptional regulatory protein
WP_011654431.1,,RL_RS29440,pRL100407,-,putative two-component sensor histidine kinase transcriptional regulatory protein
WP_011654432.1,,RL_RS29445,pRL100408,-,Lrp-like regulator
WP_028743095.1,SMc02260,RL_RS29450,pRL100409,-,putative component of ABC transporter
WP_028743094.1,SMc02259,RL_RS29455,pRL100410,-,putative substrate-binding component of ABC transporter
WP_011654435.1,SMc02258,RL_RS29460,pRL100411,-,putative permease component of ABC transporter
WP_011654436.1,SMc02257,RL_RS29465,pRL100412,-,putative permease component of ABC transporter
WP_011654437.1,,RL_RS29470,pRL100413,-,putative methyltransferase
WP_011654438.1,SM_b21140,RL_RS29475,pRL100414,-,putative IclR family transcriptional regulator
WP_011654439.1,,RL_RS29480,pRL100415,-,putative substrate-binding component of ABC transporter
WP_011654440.1,,RL_RS29485,pRL100416,-,putative ATP-binding component of ABC transporter
WP_011654441.1,,RL_RS29490,pRL100417,-,putative permease component of ABC transporter
WP_011654442.1,,RL_RS29495,pRL100418,-,putative permease component of ABC transporter
WP_011654443.1,,RL_RS29500,pRL100419,-,hypothetical protein
WP_011654444.1,,RL_RS29505,pRL100420,-,hypothetical protein
WP_011654445.1,,RL_RS29510,pRL100421,-,putative ribonuclease-L-PSP family protein
WP_011654446.1,,RL_RS29515,pRL100422,-,hypothetical protein
WP_011654447.1,,RL_RS29520,pRL100423,-,hypothetical protein
WP_011654448.1,,RL_RS29525,pRL100424,-,putative methyltransferase
WP_011654449.1,,RL_RS29530,pRL100425,-,putative ABC transporter component
WP_003538413.1,,RL_RS29535,pRL100426,-,putative ABC transporter component
WP_011654451.1,,RL_RS29545,pRL100428,-,putative permease component of ABC transporter
WP_011654452.1,,RL_RS29550,pRL100429,-,putative short-chain dehydrogenase
WP_011654453.1,,RL_RS29555,pRL100430,-,putative LysR family transcriptional regulatory protein
WP_011654454.1,,RL_RS29560,pRL100431,-,putative aspartate aminotransferase A
WP_041936839.1,,RL_RS29595,pRL100438,-,putative transcriptional regulator
WP_011654467.1,,RL_RS29625,pRL100444,-,putative oxidoreductase
WP_011654468.1,SMa0172,RL_RS29630,pRL100445,-,hypothetical protein
WP_011654469.1,,RL_RS29635,pRL100446,-,putative aldo-keto reductase
WP_011654470.1,,RL_RS29640,pRL100447,-,putative LysR family transcriptional regulator
WP_011654471.1,,RL_RS29645,pRL100448,-,putative general stress protein
,,,pRL100449,-,hypothetical protein
WP_011654473.1,,RL_RS29655,pRL100450,-,putative 30S ribosomal protein
WP_011654474.1,,RL_RS29660,pRL100451,-,putative autoaggregation protein
WP_041936841.1,,RL_RS29665,pRL100452,-,hypothetical protein
WP_011654476.1,,RL_RS29670,pRL100453,-,putative transketolase
WP_011654477.1,,RL_RS29675,pRL100454,-,putative transcriptional regulator
WP_011654478.1,,RL_RS29685,pRL100455,-,putative conserved hypothetical ATPase
,,RL_RS38525,pRL100456,-,-
WP_011654479.1,,RL_RS29695,pRL100457,-,putative TetR family transcriptional regulator
,,,pRL100458,-,hypothetical protein
WP_011654481.1,,RL_RS29705,pRL100459,-,hypothetical protein
WP_011654482.1,SMc02037,RL_RS29710,pRL100460,-,putative lipid biosynthesis 3-oxoacyl-[acyl-carrier-protein] reductase
WP_011654483.1,,RL_RS29715,pRL100461,-,ribitol 2-dehydrogenase
WP_011654484.1,,RL_RS29720,pRL100462,-,putative permease component of ABC transporter
WP_011654485.1,,RL_RS29725,pRL100463,-,putative ATP-binding component of ABC transporter
WP_011654486.1,,RL_RS29730,pRL100464,-,putative substrate-binding component of ABC transporter
WP_041936844.1,,RL_RS29735,pRL100465,-,putative AraC family transcriptional regulator
WP_011654488.1,,RL_RS29740,pRL100466,-,putative trehalose-phosphatase
,,,pRL100470,-,hypothetical protein
WP_011654768.1,,RL_RS29785,pRL110005,-,putative transmembrane protein
WP_011654769.1,,RL_RS29790,pRL110006,-,hypothetical protein
WP_003548300.1,,RL_RS29795,pRL110007,-,putative ECF sigma factor
WP_011654770.1,,RL_RS29800,pRL110008,-,hypothetical protein
WP_011654771.1,,RL_RS29805,pRL110009,-,putative MerR family copper export transcriptional regulator
WP_011654772.1,,RL_RS29810,pRL110010,-,putative copper-transporting p-type ATPase
WP_011654773.1,SM_b20574,RL_RS29815,pRL110011,-,putative trehalose synthase
WP_011654774.1,SM_b21297,RL_RS29820,pRL110012,-,putative penicillin-binding family protein
WP_011654775.1,SM_b21298,RL_RS29825,pRL110013,-,hypothetical protein
WP_041936855.1,,RL_RS29830,pRL110014,-,putative peptide methionine sulfoxide reductase MsrA
WP_041936949.1,,RL_RS29835,pRL110015,-,hypothetical protein
,,,pRL110016,-,hypothetical protein
WP_011654779.1,,RL_RS29845,pRL110017,-,putative TetR-type transcriptional regulator
WP_011654780.1,,RL_RS29850,pRL110018,-,putative transmembrane major facilitator subfamily transporter protein
WP_011654782.1,,RL_RS29860,pRL110020,-,hypothetical protein
WP_011654783.1,,RL_RS29865,pRL110021,-,putative ATP-binding component of ABC transporter
WP_041936856.1,,RL_RS29870,pRL110022,-,putative permease component of ABC transporter
WP_003548335.1,,RL_RS29875,pRL110023,-,Similar to E.coli invasion protein
WP_003548337.1,,RL_RS29880,pRL110024,-,putative acyl-CoA transferase
WP_003548339.1,,RL_RS29885,pRL110025,-,putative carnitinyl-CoA dehydratase
WP_003548341.1,,RL_RS29890,pRL110026,-,putative LysR family transcriptional regulator
WP_011654786.1,,RL_RS29895,pRL110027,-,putative amidohydrolase
WP_041936950.1,,RL_RS29900,pRL110028,-,putative dihydrodipicolinate synthase
WP_011654788.1,,RL_RS29905,pRL110029,-,putative ferredoxin
WP_011654789.1,SM_b21598,RL_RS29910,pRL110030,-,putative HTH transcriptional regulator
WP_041936857.1,SM_b20366,RL_RS29915,pRL110031,-,putative HTH-type transcriptional regulator
WP_003548352.1,,RL_RS29920,pRL110032,-,putative transmembrane protein
WP_003548354.1,,RL_RS29925,pRL110033,-,putative ATP-binding component of ABC transporter
