## Sat Mar 25 20:43:29 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM__gbtp9iu --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM__gbtp9iu --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM__gbtp9iu/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
Smeli:SMc02776	266834.SMc02776	0.0	980.0	COG2721@1|root,COG2721@2|Bacteria,1MU9V@1224|Proteobacteria,2TTDT@28211|Alphaproteobacteria,4B8K8@82115|Rhizobiaceae	28211|Alphaproteobacteria	G	dehydratase	garD	GO:0003674,GO:0003824,GO:0005975,GO:0006082,GO:0008150,GO:0008152,GO:0008867,GO:0009056,GO:0009987,GO:0016052,GO:0016054,GO:0016829,GO:0016835,GO:0016836,GO:0019577,GO:0019579,GO:0019580,GO:0019752,GO:0043436,GO:0043648,GO:0043649,GO:0044237,GO:0044238,GO:0044248,GO:0044281,GO:0044282,GO:0046392,GO:0046395,GO:0071704,GO:1901575	4.2.1.7	ko:K01685	ko00040,ko01100,map00040,map01100	M00631	R01540	RC00543	ko00000,ko00001,ko00002,ko01000	-	-	-	GD_AH_C,SAF
Smeli:SMc02775	266834.SMc02775	1.53e-244	671.0	COG0667@1|root,COG0667@2|Bacteria,1MWGQ@1224|Proteobacteria,2TUJ8@28211|Alphaproteobacteria,4B9YB@82115|Rhizobiaceae	28211|Alphaproteobacteria	C	aldo keto reductase	pld	-	1.1.1.122	ko:K00064	ko00051,ko00053,ko01100,ko01110,ko01120,map00051,map00053,map01100,map01110,map01120	M00114	R07675,R08926	RC00066,RC00161	ko00000,ko00001,ko00002,ko01000	-	-	-	Aldo_ket_red
Smeli:SMc02774	266834.SMc02774	3.1e-223	617.0	COG1879@1|root,COG1879@2|Bacteria,1R8W2@1224|Proteobacteria,2U17X@28211|Alphaproteobacteria,4B920@82115|Rhizobiaceae	28211|Alphaproteobacteria	G	Periplasmic binding protein LacI transcriptional regulator	-	-	-	ko:K10439	ko02010,ko02030,map02010,map02030	M00212	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.2.1,3.A.1.2.13,3.A.1.2.19	-	-	Peripla_BP_4
Smeli:SMc02773	266834.SMc02773	0.0	1004.0	COG1129@1|root,COG1129@2|Bacteria,1R43Y@1224|Proteobacteria,2U4XU@28211|Alphaproteobacteria,4B9FH@82115|Rhizobiaceae	28211|Alphaproteobacteria	G	ABC transporter, ATP-binding protein	-	-	3.6.3.17	ko:K10441	ko02010,map02010	M00212	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.2.1,3.A.1.2.13,3.A.1.2.19	-	-	ABC_tran
Smeli:SMc02772	266834.SMc02772	2.16e-216	599.0	COG1172@1|root,COG1172@2|Bacteria,1R9NV@1224|Proteobacteria,2U4G0@28211|Alphaproteobacteria,4B82M@82115|Rhizobiaceae	28211|Alphaproteobacteria	G	Belongs to the binding-protein-dependent transport system permease family	-	GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008150,GO:0008643,GO:0015144,GO:0015145,GO:0015749,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0034219,GO:0044425,GO:0044464,GO:0051119,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944	-	ko:K10440	ko02010,map02010	M00212	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.2.1,3.A.1.2.13,3.A.1.2.19	-	-	BPD_transp_2
Smeli:SMc02771	266834.SMc02771	3.34e-243	668.0	COG1063@1|root,COG1063@2|Bacteria,1MWX0@1224|Proteobacteria,2TU6B@28211|Alphaproteobacteria,4BA1Q@82115|Rhizobiaceae	28211|Alphaproteobacteria	E	Dehydrogenase	yjjN	GO:0003674,GO:0003824,GO:0005975,GO:0006082,GO:0008150,GO:0008152,GO:0009056,GO:0009987,GO:0016052,GO:0016054,GO:0016491,GO:0016614,GO:0016616,GO:0019520,GO:0019583,GO:0019584,GO:0019752,GO:0032787,GO:0034193,GO:0034195,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044262,GO:0044275,GO:0044281,GO:0044282,GO:0046176,GO:0046395,GO:0055114,GO:0071704,GO:0072329,GO:1901575	1.1.1.14	ko:K00008	ko00040,ko00051,ko01100,map00040,map00051,map01100	M00014	R00875,R01896	RC00085,RC00102	ko00000,ko00001,ko00002,ko01000	-	-	-	ADH_N,ADH_zinc_N
Smeli:SMc02770	266834.SMc02770	0.0	866.0	COG4553@1|root,COG4553@2|Bacteria,1MVUH@1224|Proteobacteria,2TQXW@28211|Alphaproteobacteria,4B7CD@82115|Rhizobiaceae	28211|Alphaproteobacteria	I	PHB depolymerase	phaZ	-	3.1.1.75	ko:K05973	ko00650,map00650	-	R05118	-	ko00000,ko00001,ko01000	-	-	-	PHB_depo_C
Smeli:SMc02769	266834.SMc02769	6.34e-89	261.0	2AS6X@1|root,31HJW@2|Bacteria,1RGYJ@1224|Proteobacteria,2U9UH@28211|Alphaproteobacteria,4B7CV@82115|Rhizobiaceae	28211|Alphaproteobacteria	S	Protein of unknown function (DUF2852)	MA20_04040	-	-	-	-	-	-	-	-	-	-	-	DUF2852
Smeli:SMc02768	266834.SMc02768	8.05e-180	500.0	COG1451@1|root,COG1451@2|Bacteria,1MXZU@1224|Proteobacteria,2U1JG@28211|Alphaproteobacteria,4B7YP@82115|Rhizobiaceae	28211|Alphaproteobacteria	S	Metal-dependent hydrolase	MA20_23375	-	-	ko:K07043	-	-	-	-	ko00000	-	-	-	DUF45
Smeli:SMc02767	266834.SMc02767	4.32e-148	417.0	COG0135@1|root,COG0135@2|Bacteria,1RA87@1224|Proteobacteria,2U7CH@28211|Alphaproteobacteria,4B9TV@82115|Rhizobiaceae	28211|Alphaproteobacteria	E	Belongs to the TrpF family	trpF	-	5.3.1.24	ko:K01817	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00023	R03509	RC00945	ko00000,ko00001,ko00002,ko01000	-	-	-	PRAI
Smeli:SMc02766	266834.SMc02766	1.45e-301	821.0	COG0133@1|root,COG0133@2|Bacteria,1MUS8@1224|Proteobacteria,2TSHK@28211|Alphaproteobacteria,4B7BF@82115|Rhizobiaceae	28211|Alphaproteobacteria	E	The beta subunit is responsible for the synthesis of L- tryptophan from indole and L-serine	trpB	GO:0000162,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006568,GO:0006576,GO:0006586,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009072,GO:0009073,GO:0009308,GO:0009309,GO:0009987,GO:0016053,GO:0018130,GO:0019438,GO:0019752,GO:0034641,GO:0042401,GO:0042430,GO:0042435,GO:0043436,GO:0044106,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046219,GO:0046394,GO:0046483,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	4.2.1.20	ko:K01696	ko00260,ko00400,ko01100,ko01110,ko01130,ko01230,map00260,map00400,map01100,map01110,map01130,map01230	M00023	R00674,R02340,R02722	RC00209,RC00210,RC00700,RC00701,RC02868	ko00000,ko00001,ko00002,ko01000	-	-	-	PALP
Smeli:SMc02765	266834.SMc02765	5.66e-194	538.0	COG0159@1|root,COG0159@2|Bacteria,1MXJV@1224|Proteobacteria,2TQN2@28211|Alphaproteobacteria,4B80J@82115|Rhizobiaceae	28211|Alphaproteobacteria	E	The alpha subunit is responsible for the aldol cleavage of indoleglycerol phosphate to indole and glyceraldehyde 3- phosphate	trpA	-	4.2.1.20	ko:K01695	ko00260,ko00400,ko01100,ko01110,ko01130,ko01230,map00260,map00400,map01100,map01110,map01130,map01230	M00023	R00674,R02340,R02722	RC00209,RC00210,RC00700,RC00701,RC02868	ko00000,ko00001,ko00002,ko01000	-	-	-	Trp_syntA
Smeli:SMc02764	266834.SMc02764	7.92e-218	601.0	COG0777@1|root,COG0777@2|Bacteria,1MW8G@1224|Proteobacteria,2TRSH@28211|Alphaproteobacteria,4B76X@82115|Rhizobiaceae	28211|Alphaproteobacteria	I	Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl- CoA	accD	-	2.1.3.15,6.4.1.2	ko:K01963	ko00061,ko00620,ko00640,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,map00061,map00620,map00640,map00720,map01100,map01110,map01120,map01130,map01200,map01212	M00082,M00376	R00742,R04386	RC00040,RC00253,RC00367	ko00000,ko00001,ko00002,ko01000	-	-	-	Carboxyl_trans
Smeli:SMc02763	266834.SMc02763	0.0	880.0	COG0285@1|root,COG0285@2|Bacteria,1MVCH@1224|Proteobacteria,2TR64@28211|Alphaproteobacteria,4BA0Y@82115|Rhizobiaceae	28211|Alphaproteobacteria	H	Belongs to the folylpolyglutamate synthase family	folC	-	6.3.2.12,6.3.2.17	ko:K11754	ko00790,ko01100,map00790,map01100	M00126,M00841	R00942,R02237,R04241	RC00064,RC00090,RC00162	ko00000,ko00001,ko00002,ko01000	-	-	-	Mur_ligase_M
Smeli:SMc02762	266834.SMc00721	1.84e-283	774.0	COG3385@1|root,COG3385@2|Bacteria,1R7HV@1224|Proteobacteria,2UDBU@28211|Alphaproteobacteria,4BDJ5@82115|Rhizobiaceae	28211|Alphaproteobacteria	L	FOG Transposase and inactivated derivatives	-	-	-	ko:K07495	-	-	-	-	ko00000	-	-	-	DDE_Tnp_1,DUF4372
Smeli:SMc02761	266834.SMc02761	8.44e-71	213.0	COG3118@1|root,COG3118@2|Bacteria,1MZBB@1224|Proteobacteria,2UCCR@28211|Alphaproteobacteria,4BET9@82115|Rhizobiaceae	28211|Alphaproteobacteria	O	Belongs to the thioredoxin family	trxA	-	-	ko:K03671	ko04621,ko05418,map04621,map05418	-	-	-	ko00000,ko00001,ko03110	-	-	-	Thioredoxin
Smeli:SMc02760	266834.SMc02760	0.0	2305.0	COG1074@1|root,COG1074@2|Bacteria,1MUTF@1224|Proteobacteria,2TQJZ@28211|Alphaproteobacteria,4BAHT@82115|Rhizobiaceae	28211|Alphaproteobacteria	L	Belongs to the helicase family. UvrD subfamily	addA	-	3.6.4.12	ko:K16898	-	-	-	-	ko00000,ko01000,ko03400	-	-	-	PDDEXK_1,UvrD-helicase,UvrD_C
Smeli:SMc02759	266834.SMc02759	0.0	2058.0	COG2887@1|root,COG3893@1|root,COG2887@2|Bacteria,COG3893@2|Bacteria,1MY2G@1224|Proteobacteria,2TS74@28211|Alphaproteobacteria,4B817@82115|Rhizobiaceae	28211|Alphaproteobacteria	L	double-strand break repair protein AddB	addB	-	3.6.4.12	ko:K16899	-	-	-	-	ko00000,ko01000,ko03400	-	-	-	PDDEXK_1
Smeli:SMc02758	266834.SMc02758	1.63e-175	489.0	COG1208@1|root,COG1208@2|Bacteria,1R9ZD@1224|Proteobacteria,2TU2V@28211|Alphaproteobacteria,4BA9Z@82115|Rhizobiaceae	28211|Alphaproteobacteria	JM	Nucleoside-diphosphate-sugar pyrophosphorylase involved in lipopolysaccharide biosynthesis translation initiation factor 2B, gamma epsilon subunits	MA20_24100	-	2.7.7.13,2.7.7.99	ko:K00966,ko:K00992	ko00051,ko00520,ko01100,ko01110,map00051,map00520,map01100,map01110	M00114,M00361,M00362	R00885,R11025	RC00002	ko00000,ko00001,ko00002,ko01000	-	-	-	NTP_transf_3,NTP_transferase
Smeli:SMc02757	266834.SMc02757	0.0	1011.0	COG0802@1|root,COG3178@1|root,COG0802@2|Bacteria,COG3178@2|Bacteria,1MXCH@1224|Proteobacteria,2TSJD@28211|Alphaproteobacteria,4B9E7@82115|Rhizobiaceae	28211|Alphaproteobacteria	S	Threonylcarbamoyl adenosine biosynthesis protein TsaE	MA20_24090	-	2.7.1.221	ko:K07102	ko00520,ko01100,map00520,map01100	-	R08968,R11024	RC00002,RC00078	ko00000,ko00001,ko01000	-	-	-	APH,TsaE
Smeli:SMc02756	266834.SMc02756	0.0	1598.0	COG0642@1|root,COG2205@2|Bacteria,1MVY8@1224|Proteobacteria,2TS5B@28211|Alphaproteobacteria,4B7Y6@82115|Rhizobiaceae	28211|Alphaproteobacteria	T	Histidine kinase	divL	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	-	-	-	-	-	-	-	-	-	-	HATPase_c,HisKA,PAS_7,PAS_8
Smeli:SMc02755	266834.SMc02755	0.0	912.0	COG0499@1|root,COG0499@2|Bacteria,1MUQ2@1224|Proteobacteria,2TSJY@28211|Alphaproteobacteria,4B88Y@82115|Rhizobiaceae	28211|Alphaproteobacteria	H	May play a key role in the regulation of the intracellular concentration of adenosylhomocysteine	ahcY	GO:0000096,GO:0003674,GO:0003824,GO:0004013,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006520,GO:0006534,GO:0006555,GO:0006575,GO:0006725,GO:0006732,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009066,GO:0009069,GO:0009116,GO:0009119,GO:0009987,GO:0016787,GO:0016801,GO:0016802,GO:0017144,GO:0019752,GO:0033353,GO:0034641,GO:0042278,GO:0043436,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046128,GO:0046439,GO:0046483,GO:0046498,GO:0046500,GO:0051186,GO:0055086,GO:0071704,GO:0072521,GO:1901135,GO:1901360,GO:1901564,GO:1901605,GO:1901657	3.3.1.1	ko:K01251	ko00270,ko01100,map00270,map01100	M00035	R00192,R04936	RC00056,RC00069,RC01161,RC01243	ko00000,ko00001,ko00002,ko01000,ko01009,ko04147	-	-	-	AdoHcyase,AdoHcyase_NAD
Smeli:SMc02754	266834.SMc02754	2.12e-59	183.0	COG1925@1|root,COG1925@2|Bacteria,1N6RM@1224|Proteobacteria,2UC0H@28211|Alphaproteobacteria,4BGAS@82115|Rhizobiaceae	28211|Alphaproteobacteria	G	Phosphotransferase System	ptsH	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006808,GO:0006810,GO:0008150,GO:0008643,GO:0009401,GO:0044424,GO:0044464,GO:0050789,GO:0051179,GO:0051234,GO:0065007,GO:0071702	-	ko:K11189	-	-	-	-	ko00000,ko02000	4.A.2.1	-	-	PTS-HPr
Smeli:SMc02753	266834.SMc02753	4.08e-88	259.0	COG2893@1|root,COG2893@2|Bacteria,1RHH7@1224|Proteobacteria,2U9E5@28211|Alphaproteobacteria,4BDYX@82115|Rhizobiaceae	28211|Alphaproteobacteria	G	Phosphotransferase system, mannose fructose-specific component IIA	manX	-	2.7.1.191	ko:K02793	ko00051,ko00520,ko01100,ko02060,map00051,map00520,map01100,map02060	M00276	R02630	RC00017,RC03206	ko00000,ko00001,ko00002,ko01000,ko02000	4.A.6.1	-	-	EIIA-man
Smeli:SMc02752	266834.SMc02752	5.55e-100	290.0	COG1493@1|root,COG1493@2|Bacteria,1NNN5@1224|Proteobacteria,2V398@28211|Alphaproteobacteria,4BFF0@82115|Rhizobiaceae	28211|Alphaproteobacteria	T	Serine kinase of the HPr protein, regulates carbohydrate metabolism	-	-	-	-	-	-	-	-	-	-	-	-	Hpr_kinase_C
Smeli:SMc04446	266834.SMc04446	0.0	1129.0	COG0642@1|root,COG2205@2|Bacteria,1N17V@1224|Proteobacteria,2TS69@28211|Alphaproteobacteria,4BNS0@82115|Rhizobiaceae	28211|Alphaproteobacteria	T	Stimulus-sensing domain	chvG	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	2.7.13.3	ko:K14980	ko02020,map02020	M00520	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	-	-	-	HAMP,HATPase_c,HisKA,Sensor_TM1,Stimulus_sens_1
