new.locus.tag,KEGG_ko,Name_description
SM_RS00520,K01433,purU; formyltetrahydrofolate deformylase [EC:3.5.1.10]
SM_RS00525,K00605,"gcvT, AMT; glycine cleavage system T protein (aminomethyltransferase) [EC:2.1.2.10]"
SM_RS00530,K22344,dmmC; dimethylamine monooxygenase subunit C [EC:1.14.13.238]
SM_RS00535,K22343,dmmB; dimethylamine monooxygenase subunit B [EC:1.14.13.238]
SM_RS00540,K22342,dmmA; dimethylamine monooxygenase subunit A [EC:1.14.13.238]
SM_RS00545,K18277,tmm; trimethylamine monooxygenase [EC:1.14.13.148]
SM_RS00550,K00605,"gcvT, AMT; glycine cleavage system T protein (aminomethyltransferase) [EC:2.1.2.10]"
SM_RS00555,,
SM_RS00560,K01621,"xfp, xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]"
SM_RS00565,K18981,udh; uronate dehydrogenase [EC:1.1.1.203]
SM_RS00570,,
SM_RS00575,K05799,"pdhR; GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex"
SM_RS00580,,
SM_RS00585,K00799,"GST, gst; glutathione S-transferase [EC:2.5.1.18]"
SM_RS00590,K10111,"malK, mtlK, thuK; multiple sugar transport system ATP-binding protein [EC:7.5.2.-]"
SM_RS00595,,
SM_RS00600,,
SM_RS00605,K25678,yesQ; pectin-derived oligosaccharide transport system permease protein
SM_RS00610,K25677,yesP; pectin-derived oligosaccharide transport system permease protein
SM_RS00615,K25676,yesO; pectin-derived oligosaccharide transport system substrate-binding protein
SM_RS00620,,
SM_RS00625,,
SM_RS00630,,
SM_RS00635,,
SM_RS00640,,
SM_RS00645,,
SM_RS00650,K01534,zntA; Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]
SM_RS00655,K23537,nupA; general nucleoside transport system ATP-binding protein
SM_RS00660,K23535,nupB; general nucleoside transport system permease protein
SM_RS00665,K23536,nupC; general nucleoside transport system permease protein
SM_RS00670,K01489,"cdd, CDA; cytidine deaminase [EC:3.5.4.5]"
SM_RS00675,K03783,"punA, PNP; purine-nucleoside phosphorylase [EC:2.4.2.1]"
SM_RS00680,K00758,"deoA, TYMP; thymidine phosphorylase [EC:2.4.2.4]"
SM_RS00685,K00761,"upp, UPRT; uracil phosphoribosyltransferase [EC:2.4.2.9]"
SM_RS00690,K01488,"add, ADA; adenosine deaminase [EC:3.5.4.4]"
SM_RS00695,K01839,deoB; phosphopentomutase [EC:5.4.2.7]
SM_RS00700,,
SM_RS00705,,
SM_RS00710,K07495,K07495; putative transposase
SM_RS00715,,
SM_RS00720,K02651,"flp, pilA; pilus assembly protein Flp/PilA"
SM_RS00725,K02278,"cpaA, tadV; prepilin peptidase CpaA [EC:3.4.23.43]"
SM_RS00730,K02279,"cpaB, rcpC; pilus assembly protein CpaB"
SM_RS00735,K02280,"cpaC, rcpA; pilus assembly protein CpaC"
SM_RS00740,K02281,cpaD; pilus assembly protein CpaD
SM_RS00745,K02282,"cpaE, tadZ; pilus assembly protein CpaE"
SM_RS00750,K02283,"cpaF, tadA; pilus assembly protein CpaF [EC:7.4.2.8]"
SM_RS00755,K12510,tadB; tight adherence protein B
SM_RS00760,K12511,tadC; tight adherence protein C
SM_RS00765,K07495,K07495; putative transposase
SM_RS00770,,
SM_RS00775,K01255,"CARP, pepA; leucyl aminopeptidase [EC:3.4.11.1]"
SM_RS00780,,
SM_RS00785,,
SM_RS00790,K12972,ghrA; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
SM_RS00795,K13896,yejF; microcin C transport system ATP-binding protein
SM_RS00800,K13895,yejE; microcin C transport system permease protein
SM_RS00805,K13894,yejB; microcin C transport system permease protein
SM_RS00810,K13893,yejA; microcin C transport system substrate-binding protein
SM_RS00815,K07261,mepA; penicillin-insensitive murein DD-endopeptidase [EC:3.4.24.-]
SM_RS00820,K01734,mgsA; methylglyoxal synthase [EC:4.2.3.3]
SM_RS00825,K00845,glk; glucokinase [EC:2.7.1.2]
SM_RS00830,K11085,"msbA; ATP-binding cassette, subfamily B, bacterial MsbA [EC:7.5.2.6]"
SM_RS00835,K00215,dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
SM_RS00840,K01834,"PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
SM_RS00845,K07493,K07493; putative transposase
SM_RS00850,K07493,K07493; putative transposase
SM_RS00855,K07493,K07493; putative transposase
SM_RS00860,K10778,"ada; AraC family transcriptional regulator, regulatory protein of adaptative response / methylated-DNA-[protein]-cysteine methyltransferase [EC:2.1.1.63]"
SM_RS00865,,
SM_RS00870,K10773,"NTHL1, nth; endonuclease III [EC:3.2.2.- 4.2.99.18]"
SM_RS00875,,
SM_RS00880,,
SM_RS00885,,
SM_RS00890,K07028,K07028; uncharacterized protein
SM_RS00895,,
SM_RS00900,K00015,"gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]"
SM_RS00905,K02335,polA; DNA polymerase I [EC:2.7.7.7]
SM_RS00910,,
SM_RS00915,,
SM_RS00920,K07027,K07027; glycosyltransferase 2 family protein
SM_RS00925,,
SM_RS00930,,
SM_RS00935,K05366,mrcA; penicillin-binding protein 1A [EC:2.4.1.129 3.4.16.4]
SM_RS00940,K04043,"dnaK, HSPA9; molecular chaperone DnaK"
SM_RS00945,K03686,dnaJ; molecular chaperone DnaJ
SM_RS00950,,
SM_RS00955,,
SM_RS00960,K03306,"TC.PIT; inorganic phosphate transporter, PiT family"
SM_RS00965,K07220,K07220; uncharacterized protein
SM_RS00970,K03629,recF; DNA replication and repair protein RecF
SM_RS00975,,
SM_RS00980,,
SM_RS00985,K03577,"acrR, smeT; TetR/AcrR family transcriptional regulator, acrAB operon repressor"
SM_RS00990,K18138,"acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump"
SM_RS00995,K03585,"acrA, mexA, adeI, smeD, mtrC, cmeA; membrane fusion protein, multidrug efflux system"
SM_RS01000,K10111,"malK, mtlK, thuK; multiple sugar transport system ATP-binding protein [EC:7.5.2.-]"
SM_RS01005,,
SM_RS01010,K10119,msmG; raffinose/stachyose/melibiose transport system permease protein
SM_RS01015,K10118,msmF; raffinose/stachyose/melibiose transport system permease protein
SM_RS01020,K10117,msmE; raffinose/stachyose/melibiose transport system substrate-binding protein
SM_RS01025,K07106,murQ; N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126]
SM_RS01030,K18676,gspK; glucosamine kinase [EC:2.7.1.8]
SM_RS01035,K24967,"nagR; GntR family transcriptional regulator, N-acetylglucosamine utilization regulator"
SM_RS01040,K00820,"glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]"
SM_RS01045,K01443,"nagA, AMDHD2; N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]"
SM_RS01050,K06201,cutC; copper homeostasis protein
SM_RS01055,K00884,"NAGK, nagK; N-acetylglucosamine kinase [EC:2.7.1.59]"
SM_RS01060,K02433,"gatA, QRSL1; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]"
SM_RS01065,K06203,cysZ; CysZ protein
SM_RS01070,K03745,slyX; SlyX protein
SM_RS01075,K07335,"bmpA, bmpB, tmpC; basic membrane protein A and related proteins"
SM_RS01080,K07304,msrA; peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]
SM_RS01085,,
SM_RS01095,,
SM_RS01105,,
SM_RS01110,K05373,"ybtX, irp8; MFS transporter, putative signal transducer"
SM_RS01115,K15721,fyuA; pesticin/yersiniabactin receptor
SM_RS01120,,
SM_RS01125,,
SM_RS01130,,
SM_RS01135,,
SM_RS01140,K13936,mdcF; malonate transporter and related proteins
SM_RS01145,K00826,"E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]"
SM_RS01150,K08738,CYC; cytochrome c
SM_RS01155,K00979,kdsB; 3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]
SM_RS01160,K04518,pheA2; prephenate dehydratase [EC:4.2.1.51]
SM_RS01165,,
SM_RS01170,,
SM_RS01175,,
SM_RS01180,K03426,"E3.6.1.22, NUDT12, nudC; NAD+ diphosphatase [EC:3.6.1.22]"
SM_RS01195,K02343,dnaX; DNA polymerase III subunit gamma/tau [EC:2.7.7.7]
SM_RS01200,K09747,ebfC; nucleoid-associated protein EbfC
SM_RS01205,,
SM_RS01210,K06187,recR; recombination protein RecR
SM_RS01215,,
SM_RS01220,,
SM_RS01225,K09748,rimP; ribosome maturation factor RimP
SM_RS01230,K02600,nusA; transcription termination/antitermination protein NusA
SM_RS01235,K07742,ylxR; uncharacterized protein
SM_RS01240,K02519,"infB, MTIF2; translation initiation factor IF-2"
SM_RS01245,K02834,rbfA; ribosome-binding factor A
SM_RS01250,K03177,"truB, PUS4, TRUB1; tRNA pseudouridine55 synthase [EC:5.4.99.25]"
SM_RS01255,,
SM_RS01260,K02956,"RP-S15, MRPS15, rpsO; small subunit ribosomal protein S15"
SM_RS01265,K00962,"pnp, PNPT1; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]"
SM_RS01270,K00564,rsmC; 16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]
SM_RS01275,K00208,fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
SM_RS01280,K00647,fabB; 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]
SM_RS01285,K01716,fabA; 3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:4.2.1.59 5.3.3.14]
SM_RS01290,K09826,"irr; Fur family transcriptional regulator, iron response regulator"
SM_RS01295,,
SM_RS01300,,
SM_RS01310,,
SM_RS01315,K00800,aroA; 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]
SM_RS01320,K00945,cmk; CMP/dCMP kinase [EC:2.7.4.25]
SM_RS01325,K02945,"RP-S1, rpsA; small subunit ribosomal protein S1"
SM_RS01330,,
SM_RS01335,,
SM_RS01340,,
SM_RS01350,K01768,E4.6.1.1; adenylate cyclase [EC:4.6.1.1]
SM_RS01355,,
SM_RS01360,,
SM_RS01365,K03684,rnd; ribonuclease D [EC:3.1.13.5]
SM_RS01370,K07497,K07497; putative transposase
SM_RS01375,K07461,K07461; putative endonuclease
SM_RS01380,K07401,K07401; selenoprotein W-related protein
SM_RS01385,K15977,K15977; putative oxidoreductase
SM_RS01390,K06140,rnk; regulator of nucleoside diphosphate kinase
SM_RS01395,K19164,ccdA; antitoxin CcdA
SM_RS01400,K03596,lepA; GTP-binding protein LepA
SM_RS01405,,
SM_RS01410,,
SM_RS01415,,
SM_RS01420,,
SM_RS01425,,
SM_RS01430,K01843,"kamA; lysine 2,3-aminomutase [EC:5.4.3.2]"
SM_RS01435,K04568,"epmA, poxA; elongation factor P--(R)-beta-lysine ligase [EC:6.3.1.-]"
SM_RS01440,K02356,efp; elongation factor P
SM_RS01445,K00574,cfa; cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]
SM_RS01450,K22737,mbfA; erythrin-vacuolar iron transport family protein
SM_RS01455,,
SM_RS01460,,
SM_RS01465,K02520,"infC, MTIF3; translation initiation factor IF-3"
SM_RS01470,K02916,"RP-L35, MRPL35, rpmI; large subunit ribosomal protein L35"
SM_RS01475,K02887,"RP-L20, MRPL20, rplT; large subunit ribosomal protein L20"
SM_RS01480,K01889,"FARSA, pheS; phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]"
SM_RS01485,K01890,"FARSB, pheT; phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]"
SM_RS01490,,
SM_RS01495,,
SM_RS01500,,
SM_RS01505,,
SM_RS01510,,
SM_RS01515,,
SM_RS01520,,
SM_RS01525,,
SM_RS01530,,
SM_RS01535,,
SM_RS01540,K03601,xseA; exodeoxyribonuclease VII large subunit [EC:3.1.11.6]
SM_RS01545,,
SM_RS01550,,
SM_RS01555,K15269,pecM; probable blue pigment (indigoidine) exporter
SM_RS01560,K19689,"ampS, pepS, ampT; aminopeptidase [EC:3.4.11.-]"
SM_RS01565,K00799,"GST, gst; glutathione S-transferase [EC:2.5.1.18]"
SM_RS01570,,
SM_RS01575,K03976,"ybaK, ebsC; Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase [EC:3.1.1.-]"
SM_RS01580,,
SM_RS01585,K00832,tyrB; aromatic-amino-acid transaminase [EC:2.6.1.57]
SM_RS01590,K06987,K06987; uncharacterized protein
SM_RS01595,,
SM_RS01600,,
SM_RS01605,,
SM_RS01610,,
SM_RS01615,K07064,K07064; uncharacterized protein
SM_RS01620,K01951,"guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]"
SM_RS01625,K01243,"mtnN, mtn, pfs; adenosylhomocysteine nucleosidase [EC:3.2.2.9]"
SM_RS01630,,
SM_RS01635,,
SM_RS01640,K09947,K09947; uncharacterized protein
SM_RS01645,K03284,corA; magnesium transporter
SM_RS01650,K07338,K07338; uncharacterized protein
SM_RS01655,,
SM_RS01660,K07231,K07231; putative iron-regulated protein
SM_RS01665,K03500,"rsmB, sun; 16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]"
SM_RS01670,K03642,rlpA; rare lipoprotein A
SM_RS01675,,
SM_RS01680,K18979,queG; epoxyqueuosine reductase [EC:1.17.99.6]
SM_RS01685,K00799,"GST, gst; glutathione S-transferase [EC:2.5.1.18]"
SM_RS01690,K06153,bacA; undecaprenyl-diphosphatase [EC:3.6.1.27]
SM_RS31200,,
SM_RS01695,,
SM_RS01700,,
SM_RS01705,K01591,pyrF; orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]
SM_RS01710,,
SM_RS01715,K00570,pmtA; phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2.1.1.71]
SM_RS01720,K02338,dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]
SM_RS01725,K07056,rsmI; 16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198]
SM_RS01730,K07460,yraN; putative endonuclease
SM_RS01735,K01920,gshB; glutathione synthase [EC:6.3.2.3]
SM_RS01740,K07391,comM; magnesium chelatase family protein
SM_RS01745,K01738,cysK; cysteine synthase [EC:2.5.1.47]
SM_RS01750,,
SM_RS01755,,
SM_RS01760,,
SM_RS01765,K03719,"lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein"
SM_RS01770,K01520,"dut, DUT; dUTP diphosphatase [EC:3.6.1.23]"
SM_RS01775,K02837,prfC; peptide chain release factor 3
SM_RS01780,,
SM_RS01785,,
SM_RS01790,K01784,"galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]"
SM_RS01795,,
SM_RS01800,K03337,iolB; 5-deoxy-glucuronate isomerase [EC:5.3.1.30]
SM_RS01805,K03335,iolE; inosose dehydratase [EC:4.2.1.44]
SM_RS01810,K03336,"iolD; 3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing) [EC:3.7.1.22]"
SM_RS01815,K03338,iolC; 5-dehydro-2-deoxygluconokinase [EC:2.7.1.92]
SM_RS01820,,
SM_RS01825,,
SM_RS01830,,
SM_RS01835,K13038,"coaBC, dfp; phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]"
SM_RS01840,,
SM_RS01845,,
SM_RS01850,K06867,K06867; uncharacterized protein
SM_RS01855,K00059,"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"
SM_RS01860,K03688,"ubiB, aarF; ubiquinone biosynthesis protein"
SM_RS01865,K03183,"ubiE; demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]"
SM_RS01870,K10563,"mutM, fpg; formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]"
SM_RS01875,K01692,"paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]"
SM_RS01880,K02968,"RP-S20, rpsT; small subunit ribosomal protein S20"
SM_RS01885,K02313,dnaA; chromosomal replication initiator protein
SM_RS01890,,
SM_RS01895,K03088,"rpoE; RNA polymerase sigma-70 factor, ECF subfamily"
SM_RS01900,,
SM_RS01905,K04750,phnB; PhnB protein
SM_RS01910,,
SM_RS01915,K01519,"rdgB, ITPA; XTP/dITP diphosphohydrolase [EC:3.6.1.66]"
SM_RS01920,,
SM_RS01925,K00989,rph; ribonuclease PH [EC:2.7.7.56]
SM_RS01930,K03705,hrcA; heat-inducible transcriptional repressor
SM_RS01935,K03687,GRPE; molecular chaperone GrpE
SM_RS01940,K02806,ptsN; nitrogen PTS system EIIA component [EC:2.7.1.-]
SM_RS01945,,
SM_RS01950,K03092,rpoN; RNA polymerase sigma-54 factor
SM_RS01955,K06861,lptB; lipopolysaccharide export system ATP-binding protein [EC:7.5.2.5]
SM_RS01960,K09774,lptA; lipopolysaccharide export system protein LptA
SM_RS01965,K11719,lptC; lipopolysaccharide export system protein LptC
SM_RS01970,K04773,sppA; protease IV [EC:3.4.21.-]
SM_RS01975,K05788,"ihfB, himD; integration host factor subunit beta"
SM_RS01980,,
SM_RS01985,K09386,K09386; uncharacterized protein
SM_RS01990,K06969,rlmI; 23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191]
SM_RS01995,K03437,"spoU; RNA methyltransferase, TrmH family"
SM_RS02000,K03101,lspA; signal peptidase II [EC:3.4.23.36]
SM_RS02005,,
SM_RS02010,K22310,olsB; L-ornithine Nalpha-acyltransferase [EC:2.3.2.30]
SM_RS02015,K00029,"E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]"
SM_RS02020,K03555,mutS; DNA mismatch repair protein MutS
SM_RS02025,K00990,glnD; [protein-PII] uridylyltransferase [EC:2.7.7.59]
SM_RS02030,K03980,"murJ, mviN; putative peptidoglycan lipid II flippase"
SM_RS02035,,
SM_RS02040,K01867,"WARS, trpS; tryptophanyl-tRNA synthetase [EC:6.1.1.2]"
SM_RS02045,,
SM_RS02050,,
SM_RS02055,K14742,tsaB; tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
SM_RS02060,K03789,rimI; [ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]
SM_RS02065,K22617,olsA; lyso-ornithine lipid O-acyltransferase [EC:2.3.1.270]
SM_RS02070,K06168,miaB; tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3]
SM_RS02075,K06217,"phoH, phoL; phosphate starvation-inducible protein PhoH and related proteins"
SM_RS02080,K07042,"ybeY, yqfG; probable rRNA maturation factor"
SM_RS02085,K06189,"corC, tlyC; hemolysin (HlyC) family protein"
SM_RS02090,K03820,lnt; apolipoprotein N-acyltransferase [EC:2.3.1.269]
SM_RS02095,,
SM_RS02100,K00789,"metK, MAT; S-adenosylmethionine synthetase [EC:2.5.1.6]"
SM_RS02105,K03439,"trmB, METTL1, TRM8; tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]"
SM_RS02110,,
SM_RS02115,,
SM_RS02120,,
SM_RS02125,K03406,mcp; methyl-accepting chemotaxis protein
SM_RS02130,K00852,"rbsK, RBKS; ribokinase [EC:2.7.1.15]"
SM_RS02135,K09760,rmuC; DNA recombination protein RmuC
SM_RS02140,K01462,"PDF, def; peptide deformylase [EC:3.5.1.88]"
SM_RS02145,K00604,"MTFMT, fmt; methionyl-tRNA formyltransferase [EC:2.1.2.9]"
SM_RS02150,K06173,"truA, PUS1; tRNA pseudouridine38-40 synthase [EC:5.4.99.12]"
SM_RS31660,K07486,K07486; transposase
SM_RS02160,,
SM_RS02165,K01439,dapE; succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]
SM_RS02170,K18902,bpeF; multidrug efflux pump
SM_RS02175,K18901,"bpeE; membrane fusion protein, multidrug efflux system"
SM_RS02180,,
SM_RS02185,,
SM_RS32365,,
SM_RS02195,K05592,"deaD, cshA; ATP-dependent RNA helicase DeaD [EC:3.6.4.13]"
SM_RS02200,,
SM_RS02205,K00674,"dapD; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]"
SM_RS02210,,
SM_RS02215,K07025,K07025; putative hydrolase of the HAD superfamily
SM_RS02220,,
SM_RS02225,K10778,"ada; AraC family transcriptional regulator, regulatory protein of adaptative response / methylated-DNA-[protein]-cysteine methyltransferase [EC:2.1.1.63]"
SM_RS02230,,
SM_RS02235,K00930,argB; acetylglutamate kinase [EC:2.7.2.8]
SM_RS02240,,
SM_RS02245,K07305,msrB; peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]
SM_RS02250,,
SM_RS02255,K03978,engB; GTP-binding protein
